name,key,baseline_iou,achievable_iou,upper_bound_iou,achievable_gain,upper_bound_gain,n_fragments,n_add,n_remove,corridor_pixels,gt_empty
CRACK500_20160316_142223_721_641.jpg,CRACK500_20160316_142223_721_641,0.46915803692030617,0.4717066545948393,0.47649475125513463,0.002548617674533127,0.007336714334828465,33,0,1,2176,0
CRACK500_20160316_142226_1281_361.jpg,CRACK500_20160316_142226_1281_361,0.6961914169684996,0.6961914169684996,0.7039378813089295,0.0,0.007746464340429915,57,0,0,3729,0
CRACK500_20160316_142226_1281_721.jpg,CRACK500_20160316_142226_1281_721,0.5743645213628988,0.587915078933043,0.5920800219238147,0.013550557570144117,0.017715500560915864,41,1,2,3080,0
CRACK500_20160316_142226_1921_721.jpg,CRACK500_20160316_142226_1921_721,0.6500208073241781,0.6524946855070651,0.6566496698152637,0.0024738781828870238,0.00662886249108563,57,3,1,4266,0
CRACK500_20160316_142226_1_361.jpg,CRACK500_20160316_142226_1_361,0.7216965190942886,0.7257936956276126,0.7408407028827381,0.004097176533324087,0.01914418378844951,56,5,5,3978,0
CRACK500_20160316_142226_641_361.jpg,CRACK500_20160316_142226_641_361,0.6785758745176148,0.6798054134963203,0.6972349061390157,0.00122953897870548,0.018659031621400923,61,1,2,4279,0
CRACK500_20160316_142226_641_721.jpg,CRACK500_20160316_142226_641_721,0.7395758447160317,0.7404347045087121,0.7431043807463493,0.0008588597926804109,0.003528536030317664,30,1,0,2402,0
CRACK500_20160316_142449_1281_721.jpg,CRACK500_20160316_142449_1281_721,0.7008853890407606,0.7194688836871418,0.7326004332011934,0.018583494646381205,0.031715044160432804,60,11,0,5472,0
CRACK500_20160316_142449_1921_361.jpg,CRACK500_20160316_142449_1921_361,0.7764204545454545,0.7820676000565691,0.7935326942337959,0.00564714551111456,0.017112239688341413,87,1,1,7152,0
CRACK500_20160316_142449_1921_721.jpg,CRACK500_20160316_142449_1921_721,0.643674982023342,0.6472840259668202,0.6495907344506933,0.003609043943478274,0.005915752427351317,66,1,4,4589,0
CRACK500_20160316_142449_641_361.jpg,CRACK500_20160316_142449_641_361,0.6409017713365539,0.6466414921615745,0.6547701547701548,0.005739720825020611,0.013868383433600862,53,2,0,4080,0
CRACK500_20160316_142449_641_721.jpg,CRACK500_20160316_142449_641_721,0.6961209068010076,0.7140708053354728,0.725516119190481,0.01794989853446527,0.029395212389473402,59,3,2,4814,0
CRACK500_20160316_142539_1281_361.jpg,CRACK500_20160316_142539_1281_361,0.7558409618800382,0.7632445786439748,0.7707531610775151,0.007403616763936527,0.014912199197476883,41,1,1,2772,0
CRACK500_20160316_142539_1281_721.jpg,CRACK500_20160316_142539_1281_721,0.6833141982395714,0.6898041474654378,0.6917966493356441,0.0064899492258664315,0.008482451096072707,30,2,1,2289,0
CRACK500_20160316_142539_1921_361.jpg,CRACK500_20160316_142539_1921_361,0.5255033125361807,0.5329691767460008,0.537745740498034,0.0074658642098200945,0.012242427961853375,42,4,3,2908,0
CRACK500_20160316_142539_641_721.jpg,CRACK500_20160316_142539_641_721,0.5464274472773056,0.5493862134088763,0.5501481434785349,0.002958766131570645,0.003720696201229279,30,3,0,2272,0
CRACK500_20160316_143433_1281_1.jpg,CRACK500_20160316_143433_1281_1,0.46405228758169936,0.47905559786747903,0.536864406779661,0.01500331028577967,0.0728121191979616,92,2,1,5391,0
CRACK500_20160316_143433_1281_721.jpg,CRACK500_20160316_143433_1281_721,0.6361320336730173,0.646630848444146,0.6723879737357448,0.010498814771128684,0.036255940062727476,62,5,1,4358,0
CRACK500_20160316_143433_1921_1.jpg,CRACK500_20160316_143433_1921_1,0.436399568810636,0.4417926762616141,0.46285064442759666,0.005393107450978096,0.02645107561696064,59,0,3,3938,0
CRACK500_20160316_143433_1921_1081.jpg,CRACK500_20160316_143433_1921_1081,0.6092809068366986,0.6190053285968028,0.6375887816426881,0.00972442176010424,0.028307874805989508,61,2,1,4241,0
CRACK500_20160316_143433_1921_721.jpg,CRACK500_20160316_143433_1921_721,0.7161188948540003,0.7161560617962818,0.7543738806998209,3.7166942281507964e-05,0.038254985845820655,84,1,0,6115,0
CRACK500_20160316_143433_1_361.jpg,CRACK500_20160316_143433_1_361,0.6017735615590843,0.6044637321760694,0.6157625169854709,0.002690170616985066,0.013988955426386562,84,3,2,5551,0
CRACK500_20160316_143433_641_1.jpg,CRACK500_20160316_143433_641_1,0.5005073566717403,0.5117990357777213,0.53183128111082,0.011291679105981056,0.03132392443907972,93,2,1,5801,0
CRACK500_20160316_143433_641_721.jpg,CRACK500_20160316_143433_641_721,0.7282327586206897,0.7448913744891374,0.7729500891265597,0.016658615868447746,0.04471733050587001,67,4,0,4950,0
CRACK500_20160316_143445_1281_1.jpg,CRACK500_20160316_143445_1281_1,0.809590873882121,0.8208360037029124,0.8303443328550932,0.0112451298207914,0.020753458972972205,48,5,8,3093,0
CRACK500_20160316_143445_1281_1081.jpg,CRACK500_20160316_143445_1281_1081,0.5815273477812177,0.588006230529595,0.5945945945945946,0.006478882748377268,0.013067246813376898,32,1,1,1831,0
CRACK500_20160316_143445_1281_721.jpg,CRACK500_20160316_143445_1281_721,0.7058890794739852,0.7170748415824627,0.7242333410191376,0.011185762108477548,0.01834426154515245,38,8,0,3362,0
CRACK500_20160316_143445_1921_1081.jpg,CRACK500_20160316_143445_1921_1081,0.424265189219645,0.4265510088629078,0.4334163632879862,0.0022858196432627986,0.009151174068341206,33,2,1,2318,0
CRACK500_20160316_143445_1_1081.jpg,CRACK500_20160316_143445_1_1081,0.6912666525692536,0.7027603112011084,0.7142549061893465,0.011493658631854808,0.022988253620092935,42,5,3,3068,0
CRACK500_20160316_143445_1_721.jpg,CRACK500_20160316_143445_1_721,0.603272468579559,0.6051695518140858,0.6172422120260806,0.001897083234526864,0.013969743446521687,20,1,0,1422,0
CRACK500_20160316_143445_641_361.jpg,CRACK500_20160316_143445_641_361,0.7690168818272095,0.7724867724867724,0.7785369774919614,0.0034698906595629353,0.00952009566475187,45,0,2,2959,0
CRACK500_20160316_143445_641_721.jpg,CRACK500_20160316_143445_641_721,0.75754736622944,0.7610167725804772,0.7704624460128515,0.0034694063510372075,0.012915079783411554,30,3,1,2138,0
CRACK500_20160316_143527_1281_1081.jpg,CRACK500_20160316_143527_1281_1081,0.6505376344086021,0.6594443028294672,0.6823791566678094,0.008906668420865071,0.03184152225920722,47,5,1,3344,0
CRACK500_20160316_143527_1281_361.jpg,CRACK500_20160316_143527_1281_361,0.5916746107403876,0.5916746107403876,0.6015252621544328,0.0,0.009850651414045175,32,0,0,2142,0
CRACK500_20160316_143527_1281_721.jpg,CRACK500_20160316_143527_1281_721,0.6022317681331161,0.617400782837041,0.6215798654373287,0.015169014703924955,0.019348097304212608,67,14,2,4855,0
CRACK500_20160316_143527_1921_361.jpg,CRACK500_20160316_143527_1921_361,0.6615349526741932,0.6727853152434158,0.6916627852817886,0.011250362569222627,0.03012783260759544,45,7,1,3231,0
