dataset,category,group,case_name,delta_iou_frangi_minus_baseline,variant,target_proxy_pixels,average_precision,average_precision_tolerant_r2,mass_near_target_r2,top_target_count_effective,top_target_count_precision_r2,target_coverage_r2,weighted_distance_mean_px,weighted_distance_p90_px,false_component_count_top_target,false_component_largest_top_target_px,response_mean,response_sum,active_fraction,response_p99_minus_p50,spearman_with_soft_target
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,luminance,646,0.42962676152121265,0.37648285489602,0.2218706227857477,646,0.6501547987616099,0.7244582043343654,43.81709671020508,104.58011627197266,16,35,0.06714370846748352,3132.656982421875,0.17348251028806586,0.876348078250885,0.20875993356004416
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,luminance,646,0.42962676152121265,0.37648285489602,0.2218706227857477,646,0.6501547987616099,0.7244582043343654,43.81709671020508,104.58011627197266,16,35,0.06714370846748352,3132.656982421875,0.17348251028806586,0.876348078250885,0.20875993356004416
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_cstar_dark,646,0.026726822774744988,0.05790087731980834,0.08361631273079527,646,0.08978328173374613,0.08823529411764706,57.56288146972656,108.67382049560547,33,90,0.07443772256374359,3472.96630859375,0.17234653635116598,0.8292714357376099,0.06603292260312581
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_cstar_dark,646,0.026726822774744988,0.05790087731980834,0.08361631273079527,646,0.08978328173374613,0.08823529411764706,57.56288146972656,108.67382049560547,33,90,0.07443772256374359,3472.96630859375,0.17234653635116598,0.8292714357376099,0.06603292260312581
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_cstar_bipolar,646,0.023353394710732386,0.05168151517894546,0.06093973285875853,646,0.07894736842105263,0.058823529411764705,61.02587890625,109.77249145507812,44,82,0.10849831253290176,5062.09716796875,0.2956318587105624,0.8432549834251404,0.04021096257581915
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_cstar_bipolar,646,0.023353394710732386,0.05168151517894546,0.06093973285875853,646,0.07894736842105263,0.058823529411764705,61.02587890625,109.77249145507812,44,82,0.10849831253290176,5062.09716796875,0.2956318587105624,0.8432549834251404,0.04021096257581915
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_astar_bipolar,646,0.019245048669333194,0.0404463373713152,0.04380121616179511,646,0.0913312693498452,0.09287925696594428,45.98561477661133,97.0,23,83,0.062265895307064056,2905.07763671875,0.25690157750342935,0.6898728609085083,-0.0276140743978801
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_astar_bipolar,646,0.019245048669333194,0.0404463373713152,0.04380121616179511,646,0.0913312693498452,0.09287925696594428,45.98561477661133,97.0,23,83,0.062265895307064056,2905.07763671875,0.25690157750342935,0.6898728609085083,-0.0276140743978801
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_bstar_bipolar,646,0.015608936474902111,0.04936348022300049,0.05661674623035065,646,0.0913312693498452,0.07430340557275542,46.101627349853516,94.08506774902344,26,60,0.11235006898641586,5241.8046875,0.2755272633744856,0.8813695907592773,0.035700305852580425
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_bstar_bipolar,646,0.015608936474902111,0.04936348022300049,0.05661674623035065,646,0.0913312693498452,0.07430340557275542,46.101627349853516,94.08506774902344,26,60,0.11235006898641586,5241.8046875,0.2755272633744856,0.8813695907592773,0.035700305852580425
