image_id,category,domain,delta_iou,umap_1,umap_2,umap_3
khanhha_original::CRACK500_20160308_155720_1281_361.jpg,neutral,khanhha,-0.0052312038180993,7.2469,-2.9440596,9.06669
khanhha_original::CRACK500_20160308_155720_1_1.jpg,neutral,khanhha,0.0096221809549699,7.211992,-3.0260324,9.317001
khanhha_original::CRACK500_20160308_155720_641_721.jpg,neutral,khanhha,0.0052378040169147,7.2395043,-2.9371212,9.18076
khanhha_original::CRACK500_20160308_155731_1281_1.jpg,neutral,khanhha,-0.006497221503645,7.2614126,-2.9606533,9.0763855
khanhha_original::CRACK500_20160308_155731_641_1081.jpg,neutral,khanhha,-0.0005280617727753,7.266284,-2.9837127,9.06582
khanhha_original::CRACK500_20160308_155737_1281_1.jpg,neutral,khanhha,0.0042703553501981,7.244586,-2.9606533,9.131977
khanhha_original::CRACK500_20160308_155737_1281_361.jpg,improved,khanhha,0.0331569435483068,7.314657,-2.9710433,9.025662
khanhha_original::CRACK500_20160308_155737_1281_721.jpg,neutral,khanhha,0.0053053465519029,7.275192,-2.966997,9.058244
khanhha_original::CRACK500_20160308_155737_1921_1.jpg,improved,khanhha,0.0148067309102057,7.2625213,-2.978381,9.089721
khanhha_original::CRACK500_20160308_155737_1_1081.jpg,neutral,khanhha,0.0045879814154961,7.2463093,-2.9433413,9.089013
khanhha_original::CRACK500_20160308_155737_641_721.jpg,degraded,khanhha,-0.0267217419639262,7.3651576,-2.9139316,8.967777
khanhha_original::CRACK500_20160308_155828_1281_721.jpg,improved,khanhha,0.0153992740471868,7.171542,-3.3337185,9.119672
khanhha_original::CRACK500_20160308_155836_1921_361.jpg,neutral,khanhha,0.0084212940072088,7.5417705,-3.847841,9.169476
khanhha_original::CRACK500_20160308_155836_1921_721.jpg,improved,khanhha,0.0623622405896487,7.237528,-3.4605322,9.194411
khanhha_original::CRACK500_20160308_160053_1_361.jpg,degraded,khanhha,-0.0255625937908662,7.3506985,-3.6780727,9.041873
khanhha_original::CRACK500_20160308_160128_641_361.jpg,neutral,khanhha,-0.0005479584509502,7.275303,-3.6115894,9.30858
khanhha_original::CRACK500_20160308_160128_641_721.jpg,neutral,khanhha,0.0087404665969659,7.1780643,-3.3829446,9.797052
khanhha_original::CRACK500_20160310_114418_641_361.jpg,degraded,khanhha,-0.0163106649955793,7.315237,-3.4628341,9.352954
khanhha_original::CRACK500_20160310_114441_641_1.jpg,neutral,khanhha,0.000971288158489,7.2890086,-3.461491,9.637064
khanhha_original::CRACK500_20160310_114441_641_1081.jpg,improved,khanhha,0.0139954895860916,7.362827,-3.5411997,9.968481
khanhha_original::CRACK500_20160310_114446_641_1081.jpg,neutral,khanhha,-0.007346626965774,7.301739,-3.471613,9.546378
khanhha_original::CRACK500_20160310_114505_641_361.jpg,degraded,khanhha,-0.0383323804976584,7.4892173,-3.6014767,9.77188
khanhha_original::CRACK500_20160310_114658_641_721.jpg,neutral,khanhha,-0.0006161581900584,7.5031304,-3.6492836,9.301214
khanhha_original::CRACK500_20160316_141721_1_721.jpg,improved,khanhha,0.0145419873644383,7.193663,-3.4077473,9.648695
khanhha_original::CRACK500_20160316_141721_641_721.jpg,neutral,khanhha,-0.006513241123322,7.191356,-3.2766676,9.482071
khanhha_original::CRACK500_20160316_142009_1281_361.jpg,neutral,khanhha,0.0054936627674375,7.2456493,-3.4705086,9.425922
khanhha_original::CRACK500_20160316_142009_1281_721.jpg,degraded,khanhha,-0.0346533041360267,7.702381,-3.9323277,9.280107
khanhha_original::CRACK500_20160316_142027_1281_721.jpg,improved,khanhha,0.0450113387240483,7.5267024,-3.8121135,9.23096
khanhha_original::CRACK500_20160316_142449_1_361.jpg,neutral,khanhha,-0.0044242308877495,7.2913585,-3.5671868,9.960957
khanhha_original::CRACK500_20160316_142539_1_721.jpg,degraded,khanhha,-0.0413726600361636,7.5021644,-3.5755873,9.819441
khanhha_original::CRACK500_20160316_143433_641_361.jpg,neutral,khanhha,-0.007756016737375,7.5944896,-3.6637416,9.970235
khanhha_original::CRACK500_20160316_143445_1281_361.jpg,improved,khanhha,0.0124708342201939,7.557936,-3.6818135,9.828251
khanhha_original::CRACK500_20160316_143527_641_1.jpg,neutral,khanhha,0.003854045122455,7.639918,-3.769707,9.83258
khanhha_original::CRACK500_20160316_143547_1281_1081.jpg,neutral,khanhha,-0.0024466470992534,7.855155,-4.0438423,9.56927
khanhha_original::CRACK500_20160316_143603_1921_361.jpg,improved,khanhha,0.0793413344607263,7.5378084,-3.6245248,10.099839
khanhha_original::CRACK500_20160316_143624_1_641.jpg,neutral,khanhha,0.0081495512358366,7.604245,-3.609233,10.16574
khanhha_original::CRACK500_20160316_143629_1281_721.jpg,improved,khanhha,0.0465854350417789,7.7722955,-4.006165,9.4080925
khanhha_original::CRACK500_20160316_143629_1921_721.jpg,improved,khanhha,0.0501290035670659,7.8398204,-4.0155644,9.601387
khanhha_original::CRACK500_20160316_144203_1281_721.jpg,neutral,khanhha,0.0010885811755613,7.185451,-3.3464918,10.344463
khanhha_original::CRACK500_20160316_144212_1921_721.jpg,neutral,khanhha,0.006454223059466,7.834092,-4.016179,9.530298
khanhha_original::CRACK500_20160316_144212_641_721.jpg,neutral,khanhha,0.0006182497005946,7.488135,-3.607341,10.052286
