cohort,model,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
"Khanhha, trois conditions",always_neutral,5085,0.3333333333333333,0.22219308596652243,0.4999016715830875,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",mean/balanced_ba,5085,0.5118316846377877,0.5063175945718158,0.5447394296951819,0.3333333333333333,0.3968033356497568,0.7061303009152223,0.6549960660896932,0.7586871661087826,0.483695652173913,0.6953927896639472,0.7200700855626506,0.30206489675516224,0.0018263490320886986,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",mean/uniform_ba,5085,0.49774845729392125,0.49802782346843494,0.5630285152409046,0.3333333333333333,0.48436414176511466,0.7141059514039013,0.7317073170731707,0.7609950704685081,0.27717391304347827,0.6919568584835942,0.7223526267853346,0.16047197640117994,0.0014579858230551789,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",mean/uniform_accuracy,5085,0.4887088344706481,0.48856774737080527,0.5606686332350049,0.3333333333333333,0.4669909659485754,0.7130965346279892,0.7482297403619197,0.7609619656000196,0.2509057971014493,0.6981122287386826,0.7240569096555638,0.14454277286135694,0.0013492606329446525,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",multiscale_mean/balanced_ba,5085,0.5160202788002975,0.511537689363534,0.551819075712881,0.3333333333333333,0.40375260597637247,0.7153195006131596,0.6687647521636507,0.7633667094348566,0.47554347826086957,0.7026564587588144,0.7271142229356102,0.28692232055063915,0.00222350162588103,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",multiscale_mean/uniform_ba,5085,0.5036088347368947,0.5053699693563625,0.5681415929203539,0.3333333333333333,0.47533009034051427,0.7197802993713636,0.7383949645948072,0.763559769602491,0.2971014492753623,0.7025818289046886,0.7286406326261811,0.16145526057030482,0.00198917777606201,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",multiscale_mean/uniform_accuracy,5085,0.5017292197470784,0.5032457462903284,0.567748279252704,0.3333333333333333,0.4794996525364837,0.7219596179921679,0.7403619197482297,0.7650460853802404,0.28532608695652173,0.705073510406314,0.7306930712595742,0.15516224188790562,0.0020132859360200836,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",pre_global_mean/balanced_ba,5085,0.5166932208550863,0.5105773777213938,0.5480825958702065,0.3333333333333333,0.39610840861709523,0.7039475514972189,0.6557828481510621,0.7547128802380334,0.49818840579710144,0.7058926185613548,0.7215176834322024,0.3022615535889872,0.002456333544462399,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",pre_global_mean/uniform_ba,5085,0.4935302790358253,0.4953455615870295,0.56047197640118,0.3333333333333333,0.4551772063933287,0.7037291240755431,0.7391817466561762,0.7561233951486828,0.286231884057971,0.7049062758246599,0.7215862650162953,0.1526057030481809,0.0011148490016434818,-0.009132674407740448,0.013764900764687657
"Khanhha, trois conditions",pre_global_mean/uniform_accuracy,5085,0.4918592648787852,0.49398562251291467,0.5592920353982301,0.3333333333333333,0.45378735232800554,0.7028859103639429,0.7391817466561762,0.7544350468557646,0.2826086956521739,0.706396597606748,0.7212391849421519,0.14591937069813177,0.0013171558346421887,-0.009132674407740448,0.013764900764687657
Khanhha propre,always_neutral,1695,0.3333333333333333,0.25813449023861174,0.631858407079646,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.0008320171040413115,0.007183485196333688
Khanhha propre,mean/balanced_ba,1695,0.44212677663658057,0.4319674120636363,0.5852507374631268,0.3333333333333333,0.1574074074074074,0.6182902450225572,0.765639589169001,0.729165170341641,0.4033333333333333,0.6564922341696535,0.6679825498446172,0.25073746312684364,0.00017218694917643987,-0.0008320171040413115,0.007183485196333688
Khanhha propre,mean/uniform_ba,1695,0.4262613687450288,0.42909924016792583,0.6047197640117994,0.3333333333333333,0.23765432098765432,0.6424345570953885,0.8244631185807656,0.731263018027724,0.21666666666666667,0.6520836320191159,0.6752604023807428,0.14041297935103245,-0.00022129740349529164,-0.0008320171040413115,0.007183485196333688
Khanhha propre,mean/uniform_accuracy,1695,0.41982397897430573,0.4216279924420386,0.608259587020649,0.3333333333333333,0.2191358024691358,0.6382923161430334,0.8403361344537815,0.7320485886662356,0.2,0.6640573476702508,0.6781327508265066,0.13333333333333333,-0.0004508240735807057,-0.0008320171040413115,0.007183485196333688
Khanhha propre,multiscale_mean/balanced_ba,1695,0.4363405609157243,0.43018340551898976,0.5982300884955752,0.3333333333333333,0.15123456790123457,0.6303770339753806,0.8011204481792717,0.7311896981014628,0.3566666666666667,0.6544468339307048,0.6720045220025161,0.2112094395280236,0.000468463421266465,-0.0008320171040413115,0.007183485196333688
Khanhha propre,multiscale_mean/uniform_ba,1695,0.4205802814953142,0.4227289799901957,0.6112094395280236,0.3333333333333333,0.2191358024691358,0.6408744630845287,0.84593837535014,0.7270179439297086,0.19666666666666666,0.6505902031063322,0.6728275367068566,0.12271386430678466,-0.00014514650526906587,-0.0008320171040413115,0.007183485196333688
Khanhha propre,multiscale_mean/uniform_accuracy,1695,0.42064979078050974,0.4228089030425621,0.6123893805309735,0.3333333333333333,0.20987654320987653,0.640462490207202,0.8487394957983193,0.7309532787473965,0.20333333333333334,0.6547909199522104,0.675402229635603,0.1256637168141593,-0.0002042912089543819,-0.0008320171040413115,0.007183485196333688
Khanhha propre,pre_global_mean/balanced_ba,1695,0.4329477470000345,0.4244842765768215,0.5899705014749262,0.3333333333333333,0.14506172839506173,0.6174415358709062,0.7871148459383753,0.7306959108429698,0.36666666666666664,0.6577419354838709,0.6686264607325824,0.23716814159292035,0.00036641277347021365,-0.0008320171040413115,0.007183485196333688
Khanhha propre,pre_global_mean/uniform_ba,1695,0.4026174914410208,0.4015765837271084,0.6047197640117994,0.3333333333333333,0.19444444444444445,0.6277723748547964,0.8534080298786181,0.7284319710790299,0.16,0.6549008363201911,0.6703683940846726,0.10855457227138643,-0.00047880480072593336,-0.0008320171040413115,0.007183485196333688
Khanhha propre,pre_global_mean/uniform_accuracy,1695,0.40386243386243387,0.4032330197728842,0.6070796460176991,0.3333333333333333,0.19444444444444445,0.6220903008527614,0.8571428571428571,0.724571452512629,0.16,0.6593572281959379,0.6686729938537761,0.10029498525073746,-0.00029740115003014546,-0.0008320171040413115,0.007183485196333688
