cohort,map,physical_scenes,observations,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
khanhha_original,verified_frangi_ofs,24,24,0.21390560327590596,0.1532209270231141,0.13759522693697604,0.300942252594445,0.3090139442231075,0.14342629482071706,0.1762118193891102,0.44970119521912344,0.36802663870790997,0.28581763420539774,0.24555086485958688,0.4937584647940714,0.4563790654647164,0.45738546550273895,0.30956981230216724,0.5956087346188723,0.011768574617346888,0.003547512755102,0.00626453218005948,0.018341355096726134
khanhha_original,verified_frangi_v2,24,24,0.18271016829639525,0.1791156396868139,0.13470855869362727,0.23195566664686904,0.33623837981407695,0.28585657370517925,0.21654838977423638,0.4644816567065072,0.45794513124414793,0.46200096200096197,0.34012294422912853,0.5694411827123704,0.23151695437263697,0.1538308560848236,0.13641170573828276,0.3435953186485372,0.09724851854804417,0.0739198022959183,0.07623787185772743,0.11927550439120956
khanhha_noisy1,black_tophat,24,24,0.18841112945659816,0.18935355668655784,0.13874526391808073,0.23793478311136218,0.35009960159362546,0.3366533864541832,0.2251743027888446,0.48315488047808747,0.37274821380950557,0.41071428571428564,0.27156871947937955,0.4689112373788699,0.08292025513947006,0.06812011078000065,0.05345587793271985,0.11490954512264576,0.470767897002551,0.49269571109693877,0.4492724152649341,0.49154532296316966
khanhha_noisy1,derivative_pair,24,24,0.08436722588797313,0.06875223250908495,0.05885477516892349,0.11229766036341528,0.12275896414342626,0.1175298804780876,0.07544613213811417,0.1818579847277556,0.32238316666506645,0.3363746958637469,0.24684668941096077,0.39677252006195396,0.07884733499183007,0.0510698594152927,0.04550185502448581,0.12050093276872452,0.36433587106717685,0.37506975446428564,0.33173967218723427,0.3854135941485969
khanhha_noisy1,frangi_relative,24,24,0.104426702203762,0.076988634847606,0.07061251085847194,0.14213130480457561,0.197543160690571,0.049800796812748946,0.09985059760956173,0.313496015936255,0.2505132003401128,0.12099411379986919,0.14030620928494478,0.3682905211398875,0.09459459816571321,0.043283974751830046,0.052618994417328674,0.1446697843134946,0.06611477598852035,0.06960499043367341,0.04963001069568447,0.08377859933035708
khanhha_noisy1,frangi_similarity_historical,24,24,0.3638476651891335,0.32600980627828874,0.24214042840907335,0.4844676512246119,0.4310258964143426,0.35059760956175295,0.27581133798140767,0.5905565239043824,0.23696738249079133,0.20589753516582782,0.15841618559770967,0.3189812000530222,0.23860736924689263,0.14897494763135904,0.14460008313083866,0.34262375472753775,0.2029904735331632,0.21061862244897955,0.1777544294084821,0.22652901370509135
khanhha_noisy1,fusion_ofs_profile,24,24,0.19363182476223964,0.12982282228789305,0.12194623710015394,0.2765103890955883,0.28378154050464804,0.14940239043824696,0.16109935258964145,0.4204930278884461,0.36250102831299874,0.35934977804681195,0.2455021093868115,0.4790129533970541,0.38931666951005656,0.3077927976846695,0.24901344377625115,0.5328750957579662,0.013001733896683626,0.0034179687499999497,0.007163783482142804,0.019710120376275453
khanhha_noisy1,fusion_precision,24,24,0.1927373245575312,0.12963206176443284,0.12141996186389188,0.2762663549927,0.2782204515272244,0.14342629482071712,0.15612549800796813,0.41202066733067727,0.3595763801527848,0.3615819209039548,0.24369953388723378,0.47903325713853273,0.38556658010929823,0.288617692887783,0.24972764266033967,0.5250775690500934,0.01425316220238091,0.00413544323979585,0.007992408389136852,0.021322673356451907
khanhha_noisy1,fusion_reflectance,24,24,0.19670810477631956,0.1315076451732286,0.12402465245145727,0.28435614173757917,0.27606241699867196,0.1284860557768924,0.15487840305444886,0.4136039176626825,0.34786653784212745,0.2996482683982684,0.23327419310659206,0.46357818900095177,0.3838954785072322,0.2904109880328178,0.24914986662782515,0.5236706448020414,0.01659990167942172,0.00428491709183665,0.008847855548469346,0.025504598812181083
khanhha_noisy1,line_step_bic,24,24,0.15093935167065237,0.1400998833319628,0.10780826100862682,0.19899017763472374,0.2871845949535192,0.20617529880478086,0.17355577689243026,0.41226759628154047,0.4074363725314346,0.4085497835497835,0.3000411224265411,0.5113746623924862,0.09034463833086188,0.0678538642823696,0.05776208700650989,0.12851858303183686,0.42436290922619047,0.42234335140306123,0.4071732501594388,0.43915837086787846
