dataset,case_name,condition,role,qualitative,map,target_fraction,score_mean,score_q99,score_max,active_fraction_010,response_mass_near_gt,ap_exact,ap_tol2,precision_top_p005,skeleton_recall_top_p005,precision_top_p01,skeleton_recall_top_p01,precision_top_p02,skeleton_recall_top_p02,precision_top_p05,skeleton_recall_top_p05
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True,fusion_precision,0.030970982142857144,0.01116684265434742,0.47960084676742554,0.8046891689300537,0.02658641581632653,0.993402898311615,0.7460063792460377,0.5455760419863027,1.0,0.5433628318584071,1.0,0.6530973451327433,0.999003984063745,0.8,0.5595854922279793,0.8973451327433628
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True,fusion_reflectance,0.030970982142857144,0.011366606689989567,0.4923589825630188,0.8105790615081787,0.026705994897959183,0.9941920638084412,0.7472990750656984,0.5481614454248032,1.0,0.5345132743362832,1.0,0.6566371681415929,0.9970119521912351,0.8070796460176991,0.5627740135512156,0.8938053097345132
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True,verified_frangi_ofs,0.030970982142857144,0.016059158369898796,0.6192867755889893,0.8465120196342468,0.029276945153061226,0.9975852966308594,0.7564231787298291,0.5754086508859787,1.0,0.4743362831858407,1.0,0.6566371681415929,1.0,0.8141592920353983,0.5962534874451972,0.9132743362831859
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True,verified_frangi_bic,0.030970982142857144,0.04018508642911911,0.8867418766021729,0.9753302931785583,0.06997369260204081,0.665893018245697,0.7404360110669291,0.632398238176298,1.0,0.4407079646017699,1.0,0.6123893805309735,0.9790836653386454,0.7964601769911505,0.6600239139099243,0.9858407079646018
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True,verified_frangi_v2,0.030970982142857144,0.018418727442622185,0.6964860558509827,0.9687180519104004,0.03338249362244898,0.6576520800590515,0.5122807178065979,0.34761646972989,0.9880478087649402,0.5504424778761062,0.9342629482071713,0.6336283185840708,0.7589641434262948,0.7292035398230089,0.3714627341570347,0.7982300884955752
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True,verified_frangi_consensus,0.030970982142857144,0.013438105583190918,0.5688324570655823,0.8477992415428162,0.027323820153061226,0.998084306716919,0.747454770494005,0.5466089825917756,1.0,0.5398230088495575,1.0,0.6566371681415929,1.0,0.8017699115044248,0.5595854922279793,0.8973451327433628
khanhha,cracktree200_6266.jpg,original,anchor,True,frangi_similarity_historical,0.0027702487244897957,0.07277816534042358,0.9542888402938843,0.9995796084403992,0.2010124362244898,0.08080675452947617,0.010091585318726334,0.06671253520697663,0.01195219123505976,0.014388489208633094,0.049800796812749,0.02877697841726619,0.05776892430278884,0.14388489208633093,0.08090872857712236,0.45323741007194246
khanhha,cracktree200_6266.jpg,original,anchor,True,frangi_relative,0.0027702487244897957,0.011277723126113415,0.11563180387020111,0.49027395248413086,0.014050542091836735,0.04683142155408859,0.016660245549187606,0.04249393189091432,0.08764940239043825,0.1079136690647482,0.06772908366533864,0.15827338129496402,0.060756972111553786,0.28776978417266186,0.05858907931446791,0.5611510791366906
khanhha,cracktree200_6266.jpg,original,anchor,True,black_tophat,0.0027702487244897957,0.11442142724990845,0.5881558656692505,0.8091175556182861,0.33876753826530615,0.05534539744257927,0.03391393976718129,0.1284169080449197,0.4302788844621514,0.539568345323741,0.28087649402390436,0.6690647482014388,0.18426294820717132,0.762589928057554,0.11359107214029494,0.9280575539568345
khanhha,cracktree200_6266.jpg,original,anchor,True,derivative_pair,0.0027702487244897957,0.16402137279510498,0.7642786502838135,0.9455201029777527,0.416812818877551,0.05016269162297249,0.021127959857101176,0.06082622889858191,0.16334661354581673,0.3669064748201439,0.13147410358565736,0.4460431654676259,0.10657370517928287,0.6546762589928058,0.08290155440414508,0.8633093525179856
khanhha,cracktree200_6266.jpg,original,anchor,True,paired_profile,0.0027702487244897957,0.1258692592382431,0.5368657112121582,0.7633200287818909,0.44553172831632654,0.049239642918109894,0.05577747949388825,0.13592975848547012,0.42231075697211157,0.5035971223021583,0.2749003984063745,0.6546762589928058,0.20219123505976094,0.8201438848920863,0.12315663611000399,0.9136690647482014
