cohort,map,baseline,physical_scenes,delta_ap_tol2_mean,delta_ap_tol2_median,delta_ap_tol2_ci95_low,delta_ap_tol2_ci95_high,delta_ap_tol2_share_positive,delta_precision_top_p01_mean,delta_precision_top_p01_median,delta_precision_top_p01_ci95_low,delta_precision_top_p01_ci95_high,delta_precision_top_p01_share_positive,delta_skeleton_recall_top_p01_mean,delta_skeleton_recall_top_p01_median,delta_skeleton_recall_top_p01_ci95_low,delta_skeleton_recall_top_p01_ci95_high,delta_skeleton_recall_top_p01_share_positive,delta_response_mass_near_gt_mean,delta_response_mass_near_gt_median,delta_response_mass_near_gt_ci95_low,delta_response_mass_near_gt_ci95_high,delta_response_mass_near_gt_share_positive,delta_active_fraction_010_mean,delta_active_fraction_010_median,delta_active_fraction_010_ci95_low,delta_active_fraction_010_ci95_high,delta_active_fraction_010_share_positive
khanhha_noisy1,derivative_pair,frangi_similarity_historical,24,-0.27948043930116034,-0.2577449661056054,-0.38894829740585574,-0.17659609210064078,0.1,-0.30826693227091634,-0.28087649402390436,-0.4410690571049137,-0.18093874501992036,0.16666666666666666,0.08541578417427512,0.06980519480519475,0.006446148068547889,0.17662130721619815,0.75,-0.15976003425506255,-0.07214445248246194,-0.24104799712949898,-0.08690550472529139,0.041666666666666664,0.16134539753401358,0.1534797512755102,0.12279171067841198,0.19606038826663474,0.9583333333333334
khanhha_noisy1,frangi_relative,frangi_similarity_historical,24,-0.2594209629853715,-0.20839757811374043,-0.36673429288489606,-0.15316605314424728,0.1,-0.23348273572377157,-0.09561752988047811,-0.381152473439575,-0.09902058432934928,0.20833333333333334,0.013545817849321462,0.010791366906474836,-0.08614398198734875,0.1159762074775839,0.5,-0.1440127710811794,-0.04452264867722986,-0.22711460066784642,-0.06983264532949154,0.08333333333333333,-0.13687569754464288,-0.1423788265306123,-0.15468230993569304,-0.11890256713036777,0.0
khanhha_noisy1,frangi_similarity_historical,frangi_similarity_historical,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khanhha_noisy1,fusion_ofs_profile,frangi_similarity_historical,24,-0.1702158404268939,-0.1078421167780738,-0.2980882247254695,-0.036418578594056235,0.25,-0.14724435590969456,-0.022908366533864494,-0.254984229747676,-0.04108565737051794,0.20833333333333334,0.12553364582220738,0.089030872287753,0.04108097045543991,0.21648898808391837,0.7,0.15070930026316395,0.08530465699732304,0.07120473155033931,0.23648640120421374,0.625,-0.18998873963647964,-0.19879025829081637,-0.21706806624016797,-0.1613166653380102,0.0
khanhha_noisy1,fusion_precision,frangi_similarity_historical,24,-0.17111034063160227,-0.107954556874888,-0.2993243390575059,-0.036045543034054606,0.25,-0.1528054448871182,-0.040836653386454175,-0.2636972941567065,-0.049134711155378506,0.20833333333333334,0.1226089976619934,0.09454638124362894,0.04076770066946996,0.2075456899836957,0.7,0.14695921086240563,0.0795552525669336,0.06920611736325859,0.23004978009848856,0.5833333333333334,-0.1887373113307823,-0.19793327487244905,-0.2170033980389031,-0.15940867313722362,0.0
khanhha_noisy1,fusion_reflectance,frangi_similarity_historical,24,-0.16713956041281397,-0.10798957986968005,-0.29215914740800036,-0.033873720307973886,0.25,-0.15496347941567065,-0.03087649402390441,-0.2617052622841966,-0.055444887118193904,0.20833333333333334,0.1108991553513361,0.10372069317023444,0.039252170482915454,0.17978123820639452,0.7,0.1452881092603396,0.08603239292278884,0.07149154707731215,0.2242296818853598,0.625,-0.18639057185374153,-0.1977140465561225,-0.21537133041693235,-0.15629986613786143,0.0
khanhha_noisy1,line_step_bic,frangi_similarity_historical,24,-0.2129083135184811,-0.20763583647405848,-0.31088969781118164,-0.12358241539934908,0.25,-0.14384130146082338,-0.03884462151394419,-0.2484333499335989,-0.048804780876494015,0.25,0.1704689900406433,0.13296248694674273,0.10374806845723776,0.24336254332227905,0.85,-0.14826273091603073,-0.0573970042169094,-0.21958018243797903,-0.08109630826511424,0.08333333333333333,0.2213724356930272,0.2140365911989796,0.20349197906701744,0.24117946495004255,1.0
khanhha_noisy1,ofs,frangi_similarity_historical,24,-0.16204575418216957,-0.1077982170763145,-0.287659976314553,-0.030210164629063584,0.25,-0.15811752988047809,-0.016932270916334646,-0.27000539508632143,-0.05718791500664012,0.20833333333333334,0.09903621739234506,0.08245958934032324,0.029408093609574425,0.16788904678837238,0.7,0.1604085581881615,0.1064285542815924,0.07287131400128902,0.25204324021469804,0.625,-0.1942196800595238,-0.20742984693877548,-0.22085492400085036,-0.16523234049479169,0.0
khanhha_noisy1,ofs_reflectance,frangi_similarity_historical,24,-0.158756997750644,-0.10781740375126869,-0.2842708631500883,-0.031671093855483994,0.25,-0.1596945551128818,-0.007968127490039834,-0.2661977091633466,-0.05984395750332008,0.20833333333333334,0.085121198711955,0.07055482743556134,0.02262161315337266,0.14705196461098183,0.7,0.15799112377438482,0.07985210791230204,0.07654798048148832,0.24631430774773733,0.625,-0.19237201716624153,-0.20724051339285715,-0.22047494901280826,-0.16295199232036567,0.0
khanhha_noisy1,paired_profile,frangi_similarity_historical,24,-0.23674545030342437,-0.2517597480082718,-0.3421237203288871,-0.1325230501745107,0.25,-0.15720451527224436,-0.07768924302788852,-0.28087856905710495,-0.03319845617529886,0.25,0.17292175617996788,0.13596128288071418,0.08319955177677484,0.27832970206164936,0.75,-0.1660970301988224,-0.06228352710604669,-0.25116364130032404,-0.091301400155256,0.041666666666666664,0.22465836920705784,0.20937300701530615,0.20186333688748942,0.24909342032711523,1.0
khanhha_noisy1,phase_symmetry,frangi_similarity_historical,24,-0.15782505895846488,-0.10106349788063815,-0.24611648254003626,-0.07359457249908882,0.25,-0.10831673306772908,-0.04681274900398402,-0.20617944887118195,-0.012948207171314743,0.25,0.220139112414207,0.26183423606409395,0.14835934147693153,0.2913502134553287,0.9,-0.1283775327416758,-0.048939546570181805,-0.18748734319136323,-0.06953822846699041,0.125,0.12640920626062926,0.1185726243622449,0.10478087963701106,0.15001289211973856,1.0
khanhha_noisy1,verified_frangi_bic,frangi_similarity_historical,24,-0.11414207346814158,-0.09249844232948959,-0.1807621177934534,-0.053080077571807674,0.3,-0.05569389110225764,0.0,-0.13529631474103584,0.019671314741035843,0.3333333333333333,0.14058707405797696,0.16203628043798005,0.08433428491754226,0.19678207930559552,0.85,-0.013000795966945594,0.0,-0.04052758957744421,0.014663061127066609,0.4166666666666667,-0.052948620854591844,-0.05741788903061224,-0.061546938111181976,-0.042307618848320586,0.08333333333333333
khanhha_noisy1,verified_frangi_consensus,frangi_similarity_historical,24,-0.17295747063483166,-0.10788356153449749,-0.2998914249250887,-0.039454888166633645,0.25,-0.15363545816733068,-0.018924302788844542,-0.2606241699867198,-0.05378486055776895,0.20833333333333334,0.09917558304325678,0.11227610310179117,0.028950057233164406,0.1677185229689641,0.7,0.1470964519539848,0.06742421910166739,0.06942621972508883,0.23309518974371404,0.625,-0.18957187367134357,-0.19682716836734696,-0.21658549406090563,-0.16075119745163693,0.0
khanhha_noisy1,verified_frangi_ofs,frangi_similarity_historical,24,-0.16415629615824223,-0.10772362708089905,-0.29100741868333696,-0.03256673467733376,0.25,-0.15546148738379817,-0.012948207171314776,-0.268179365869854,-0.056438828021248375,0.25,0.08465048614729571,0.07960006354501763,0.021063568784793114,0.14685658673419527,0.7,0.15233798693710318,0.07337777689099315,0.07052910607405163,0.2406226810873098,0.625,-0.1901581433354592,-0.19863081951530615,-0.21754864543473643,-0.1609851240300808,0.0
khanhha_noisy1,verified_frangi_v2,frangi_similarity_historical,24,-0.18127636093468935,-0.1573122283829053,-0.2701487026835086,-0.0996509497689921,0.15,-0.10366865869853918,-0.027888446215139348,-0.19057519920318727,-0.016434262948207174,0.25,0.18416093641299186,0.2012666191334983,0.12485778842911353,0.24340587339027317,0.9,-0.02581762708723545,-0.005368717946112168,-0.0567673223578216,0.002700609113283768,0.2916666666666667,-0.08441037547831633,-0.0903220663265306,-0.09691666583625641,-0.06941488875823768,0.08333333333333333
khanhha_noisy2,black_tophat,frangi_similarity_historical,24,-0.1521835101141466,-0.08821175832642382,-0.2461665598806659,-0.06550052282969013,0.25,-0.0581839309428951,0.0,-0.1393613047808765,0.024327689243027764,0.375,0.0939764840732523,0.07572751322751327,0.03307789495937336,0.1545999853331214,0.7,-0.17307502587209456,-0.07992008980363605,-0.2580869162008943,-0.09329192333389076,0.041666666666666664,0.26597045068027214,0.27550023915816324,0.24108650051817607,0.2893640219759779,1.0
khanhha_noisy2,derivative_pair,frangi_similarity_historical,24,-0.3014032734559032,-0.2894221889557128,-0.4103507673825989,-0.19502141680248525,0.05,-0.33167330677290835,-0.3645418326693227,-0.4611595285524569,-0.20508590637450214,0.16666666666666666,0.05269619921161719,0.04229764138300719,-0.039087043004785035,0.1512005321667602,0.7,-0.1775281113514211,-0.05430295737460254,-0.2680279292891404,-0.09543694175881685,0.041666666666666664,0.10938579533375851,0.11883171237244901,0.07487880161830356,0.1397757809178359,0.9166666666666666
khanhha_noisy2,frangi_relative,frangi_similarity_historical,24,-0.22588092382119873,-0.13971738736046738,-0.33985856786973806,-0.12289845018247411,0.2,-0.19314409030544488,0.0,-0.3426336321381142,-0.0609208997343958,0.4166666666666667,-0.0005613507815887028,0.02697649572649574,-0.10233324223984787,0.09833818429402065,0.5,-0.1284023139257139,-0.03965400159358977,-0.21054665763319158,-0.053522611080794986,0.08333333333333333,-0.0926455543154762,-0.08935546875000006,-0.1116041949006165,-0.07383591009646048,0.041666666666666664
khanhha_noisy2,frangi_similarity_historical,frangi_similarity_historical,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khanhha_noisy2,fusion_ofs_profile,frangi_similarity_historical,24,-0.17850242559043433,-0.13146497990438832,-0.31300225166635587,-0.03763306676213061,0.25,-0.16077357237715806,-0.047808764940239,-0.2698414674634794,-0.05967587981407706,0.125,0.09001026801558071,0.04530536155017596,0.004485508784360859,0.1792124097530937,0.55,0.21798102040581094,0.1803220063447952,0.13574644145337517,0.3052823132558842,0.7083333333333334,-0.17168649686437076,-0.18732063137755106,-0.19566920273968963,-0.14611797722018496,0.0
khanhha_noisy2,fusion_precision,frangi_similarity_historical,24,-0.18001237424642055,-0.13546845344090697,-0.31363442847403034,-0.037413671379407154,0.25,-0.16259960159362552,-0.047808764940239,-0.2682623671978752,-0.060341965471447566,0.125,0.09126926766620355,0.04530536155017596,0.004937853636531288,0.18103141545454812,0.55,0.21260957399499603,0.150419719517231,0.1329858478740789,0.2980379451609527,0.7083333333333334,-0.17078633211096939,-0.18704161352040818,-0.19437639924133718,-0.14626261393229167,0.0
khanhha_noisy2,fusion_reflectance,frangi_similarity_historical,24,-0.17789447354039195,-0.13528346746020997,-0.30909555550492795,-0.04227432538426236,0.25,-0.17297476759628158,-0.047808764940239,-0.2733254482071713,-0.07959827357237716,0.16666666666666666,0.06717006890018104,0.039883421729769504,-0.0024497026729950262,0.13435937046463264,0.55,0.1956189712024449,0.14924856275320053,0.120212744952975,0.2750267572514227,0.7083333333333334,-0.16851765120110543,-0.18672273596938777,-0.19264538823341837,-0.1424348999853848,0.0
khanhha_noisy2,line_step_bic,frangi_similarity_historical,24,-0.2193186541885268,-0.2073992602084178,-0.3174309375310895,-0.1304608792461757,0.15,-0.15961155378486058,-0.0239043824701195,-0.2652743193891103,-0.06357694223107574,0.3333333333333333,0.13853025903294386,0.10830784913353717,0.08037476308528375,0.2001899846549451,0.85,-0.17333917309103222,-0.078289661090821,-0.2527354344560687,-0.0981812949471836,0.041666666666666664,0.3385192455888606,0.3463508450255102,0.31635628006085253,0.3593311750969919,1.0
khanhha_noisy2,ofs,frangi_similarity_historical,24,-0.17539850341318197,-0.1198825722255973,-0.3101321859163284,-0.03866244902466655,0.25,-0.16583665338645417,-0.047808764940239,-0.26875830013280216,-0.07038512616201863,0.16666666666666666,0.07702283858751814,0.04530536155017596,-0.0019402804375728351,0.1607222111337584,0.55,0.23512684347224422,0.21199389768298718,0.14587589558456482,0.32737659144889525,0.7083333333333334,-0.17514847735969385,-0.18874561543367346,-0.19851163487856077,-0.1509697116151148,0.0
