condition,map,n,nonempty_targets,ap_exact_mean,ap_exact_median,ap_exact_ci95_low,ap_exact_ci95_high,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
noisy1,paired_profile,24,20,0.13223378176040154,0.12543308873568174,0.09181910940171258,0.17970400768402703,0.12710221488570922,0.11615501698442363,0.09460810767007075,0.1595916246448407,0.27382138114209825,0.2151394422310757,0.16766268260292164,0.38920360225763606,0.4098891386707593,0.3814231907452247,0.3088681578815131,0.5125624311286061,0.07251033904807021,0.0607049148529768,0.048850856399318826,0.09861129123407106,0.427648842740221,0.4316505899234694,0.4185159073394983,0.43641729030479376
noisy1,phase_symmetry,24,20,0.19345475457528202,0.17191213223438076,0.1362063208217504,0.2627500729150524,0.20602260623066862,0.16614454124777406,0.14254685660835567,0.275496855157107,0.32270916334661354,0.2679282868525896,0.21165131142098273,0.452363462815405,0.45710649490499844,0.4612860151959678,0.3416361745281201,0.5701477432967424,0.11022983650521685,0.07145743072032928,0.06672873818994655,0.1641873733683799,0.32939967979379253,0.33279854910714285,0.3207973558075574,0.3373062860398065
noisy1,verified_frangi_bic,24,20,0.2508003272009165,0.22054187405429937,0.17082145295363255,0.33909300045484486,0.249705591720992,0.22397074850877471,0.1764801961082281,0.3267864540297577,0.375332005312085,0.25697211155378485,0.24033034528552458,0.52324244687915,0.37755445654876835,0.4330127276374741,0.26426866793430837,0.48406131138268177,0.22560657327994704,0.14051592350006104,0.13232090363938673,0.33242052783122433,0.15004185267857142,0.15460578762755103,0.12862505231584823,0.1711148216610863
noisy1,verified_frangi_consensus,24,20,0.18826985006257888,0.11379813565319481,0.11871816163164699,0.27248556159750004,0.1908901945543019,0.1326231552877554,0.12097430732794992,0.2727829363009099,0.277390438247012,0.12151394422310757,0.15702398738379814,0.41131100597609543,0.3361429655340481,0.29455185851318944,0.22300339790977267,0.45359506588345794,0.38570382120087743,0.30791329592466354,0.25030234560448056,0.5340350540277237,0.013418599861819728,0.004763233418367347,0.007648078762755102,0.019983699046024653
noisy1,verified_frangi_ofs,24,20,0.19224162060114516,0.11522863438523648,0.11868026626502037,0.2805048782116457,0.19969136903089132,0.13352322798385907,0.12453561356488287,0.28953308002979705,0.27556440903054447,0.12350597609561753,0.15362508300132802,0.41703809760956156,0.32161786863808706,0.28487923946557037,0.21569042156358054,0.43649119204102127,0.3909453561839958,0.35275551676750183,0.2551440369609433,0.5443682756352548,0.012832330197704083,0.003617267219387755,0.006725430650775935,0.020327592707004676
noisy1,verified_frangi_v2,24,20,0.1829021622612685,0.16714520710911474,0.1235987414423578,0.2441484761379372,0.18257130425444418,0.16653672292376848,0.12934064347726468,0.23832321496786332,0.32735723771580344,0.22509960159362546,0.195878984063745,0.4576713977423639,0.42112831890378316,0.45789615281140705,0.3135832752298085,0.5245157169130992,0.21278974215965718,0.13172591477632523,0.11920199847857778,0.3182726162796219,0.11858009805484694,0.12560786033163265,0.09784454553305696,0.1390171180776998
noisy2,black_tophat,24,20,0.25102374597233873,0.24077932421421025,0.1810241312591746,0.3280758291569967,0.23265206327236884,0.19433503990765966,0.17583154749958352,0.2981766172021395,0.39865537848605576,0.3565737051792829,0.26549634794156707,0.5318081839309429,0.3508911492934303,0.34257122188156675,0.27690112224447383,0.4196576860756497,0.08977322552042703,0.06923259422183037,0.058294390745383375,0.12231199933642828,0.44794905266794216,0.46298030931122447,0.4184153446534864,0.4774657580317283
noisy2,derivative_pair,24,20,0.07088360190972036,0.06243947206481609,0.04915281799937898,0.09478337950722648,0.08343229993061227,0.07673254840445415,0.06102072891769021,0.10710424430905519,0.1251660026560425,0.10956175298804781,0.07785524568393094,0.18135790172642763,0.30961086443179525,0.31690161271609235,0.24179240142542993,0.3816645551981869,0.08532014004110049,0.06042579002678394,0.04939749100691794,0.13082679472960687,0.2913643973214286,0.3088329081632653,0.2625425170068027,0.3112237839471726
noisy2,frangi_relative,24,20,0.1716223127141619,0.09191937532163955,0.10289469498153085,0.24770706859323155,0.15895464956531674,0.10686326999309101,0.10237897304811408,0.21775109491373862,0.26369521912350596,0.10258964143426295,0.13993608897742366,0.4009814907038513,0.2563533144385893,0.12382225617519735,0.1450803766815237,0.3752623085477758,0.13444593746680766,0.07133832946419716,0.07198639103153255,0.2104720846313284,0.0893330476721939,0.08791055484693877,0.06751503457828445,0.11166444116709183
noisy2,frangi_similarity_historical,24,20,0.359600375425784,0.3185696174895797,0.2414202648298637,0.48061612346392224,0.3848355733865154,0.34280138418206707,0.264879939183644,0.5136901277329158,0.4568393094289509,0.4262948207171315,0.3034632304116866,0.6150854913678616,0.25691466522017803,0.22628892405768675,0.17525004048639098,0.3440476280690839,0.2628482513925216,0.1650495007634163,0.15643915885035917,0.3677329451020341,0.18197860198767005,0.18964245854591838,0.16028199487802935,0.20255994731877125
noisy2,fusion_ofs_profile,24,20,0.19848988419592542,0.12361548306991435,0.12297203980873994,0.2838647290761055,0.2063331477960811,0.1456942030237466,0.12852012217450245,0.2989920918268407,0.29606573705179284,0.21215139442231074,0.174667994687915,0.43070841633466134,0.3469249332357588,0.33790053198070025,0.23977702197878673,0.4517314253554424,0.4808292717983325,0.45758776366710663,0.3392960402804116,0.6154392172427227,0.01029210512329932,0.0023417570153061226,0.005304972330729168,0.016297819176498723
noisy2,fusion_precision,24,20,0.1979350485882058,0.12340710131786194,0.125659343840386,0.29023716541107264,0.20482319914009492,0.14433108142294132,0.12992941141140993,0.29743779697154055,0.2942397078353254,0.21414342629482072,0.17479664674634793,0.4265500498007968,0.3481839328863816,0.33790053198070025,0.23919303490565655,0.4576815766576633,0.47545782538751763,0.435777485370636,0.33045542980544274,0.612505441578105,0.011192269876700682,0.0027702487244897957,0.005749470198235544,0.01754434806149022
noisy2,fusion_reflectance,24,20,0.20026892366129334,0.12520663288515693,0.12686056059455905,0.2902280980978457,0.20694109984612347,0.14609224583804026,0.13186378366779164,0.2984942335913869,0.28386454183266935,0.1394422310756972,0.16127158034528552,0.4197377158034528,0.3240847341203591,0.26124217935349325,0.21543244008865858,0.4326672307334466,0.4584672225949665,0.4358428120613098,0.3211508940866527,0.6060702953177193,0.013460950786564627,0.0028101084183673472,0.006901955117984694,0.021518816266741073
noisy2,line_step_bic,24,20,0.1635081129032847,0.1432075320935401,0.10668682335117591,0.2330071671032626,0.16551691919798864,0.13765041315632337,0.11254249888846285,0.22473408238264383,0.2972277556440903,0.19322709163346613,0.18400979415670649,0.42165504648074364,0.39544492425312183,0.43073593073593075,0.3178284008125861,0.4716685021017338,0.08950907830148935,0.0602127518504858,0.056775537300078824,0.12720378148175462,0.5204978475765306,0.5501235650510203,0.4933500951650191,0.5444226946149554
noisy2,ofs,24,20,0.2009203671625773,0.12372731463446707,0.12790846960824506,0.2918493176893349,0.2094370699733335,0.14600878236190082,0.12837934855170952,0.30289950853798486,0.2910026560424967,0.2091633466135458,0.16658159030544487,0.43319015604249667,0.33393750380769616,0.33790053198070025,0.23002444055245447,0.4427782356321677,0.4979750948647658,0.5225458145141602,0.35519082727842033,0.6355601223806541,0.006830124627976191,0.000528140943877551,0.0025890531994047614,0.011918173030931123
