name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
Rissbilder_for_Florian_9S6A2839_132_1745_2786_3604,0.466404,0.466404,0.476947,0.954749,0.636119,0.698749,0.760712,0.776186,0.974462,0.864096,0.749304,0.862913,0.871083,0.989247,0.926413,0.785883,0.931906,0.934646,0.996864,0.964753,0.834131,0.993733,0.993733,1.000000,0.996857,0.877551,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2839_8_923_3789_4181,0.454109,0.454109,0.471003,0.926794,0.624587,0.731690,0.800096,0.825532,0.962919,0.888948,0.785630,0.898714,0.915380,0.980144,0.946655,0.820180,0.959602,0.966079,0.993062,0.979385,0.864767,0.998311,0.999027,0.999282,0.999155,0.899762,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2840_408_2141_3112_2692,0.472450,0.472450,0.497915,0.902322,0.641720,0.666040,0.735084,0.774331,0.935496,0.847318,0.699686,0.811963,0.839825,0.960745,0.896225,0.723471,0.863787,0.878470,0.981017,0.926916,0.754989,0.903507,0.905624,0.997420,0.949308,0.778354,0.910811,0.910811,1.000000,0.953324
Rissbilder_for_Florian_9S6A2840_520_1171_3029_3249,0.472157,0.472157,0.496771,0.905027,0.641449,0.682243,0.755893,0.791711,0.943529,0.860979,0.716531,0.837758,0.861688,0.967914,0.911718,0.739861,0.891229,0.900787,0.988235,0.942487,0.767183,0.924293,0.925208,0.998930,0.960657,0.787297,0.928379,0.928379,1.000000,0.962859
Rissbilder_for_Florian_9S6A2840_73_1408_3251_2521,0.477705,0.477705,0.516238,0.864865,0.646550,0.651684,0.727532,0.784268,0.909557,0.842279,0.683581,0.797973,0.841839,0.938703,0.887636,0.707154,0.840594,0.868726,0.962904,0.913394,0.738018,0.875929,0.884226,0.989401,0.933862,0.763430,0.889957,0.891501,0.998057,0.941775
Rissbilder_for_Florian_9S6A2840_7_1394_3830_4317,0.464825,0.464825,0.487875,0.907735,0.634649,0.740642,0.810061,0.849748,0.945488,0.895065,0.786208,0.905097,0.931011,0.970166,0.950185,0.814437,0.962687,0.973869,0.988214,0.980989,0.851467,0.997441,0.998911,0.998527,0.998719,0.886843,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2841_19_570_3460_3784,0.478261,0.478261,0.508214,0.890288,0.647059,0.722849,0.802538,0.847536,0.937950,0.890454,0.781083,0.910912,0.942676,0.964329,0.953379,0.807014,0.966368,0.980493,0.985312,0.982896,0.843437,0.998801,1.000000,0.998801,0.999400,0.876890,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2841_217_2299_3214_2878,0.528589,0.528589,0.569156,0.881181,0.691604,0.721595,0.809173,0.868488,0.922166,0.894522,0.765909,0.902692,0.944384,0.953375,0.948858,0.795768,0.956039,0.980449,0.974619,0.977526,0.834075,0.993452,0.999271,0.994172,0.996715,0.864587,0.999812,1.000000,0.999812,0.999906
Rissbilder_for_Florian_9S6A2841_247_162_2749_3393,0.511464,0.511464,0.539008,0.909164,0.676780,0.696737,0.778957,0.818857,0.941129,0.875746,0.743406,0.883651,0.913771,0.964038,0.938232,0.774035,0.952599,0.970941,0.980554,0.975724,0.817825,0.995753,0.999210,0.996537,0.997872,0.857623,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2841_319_1106_2769_3450,0.510788,0.510788,0.547065,0.885095,0.676188,0.712689,0.793940,0.849638,0.923729,0.885136,0.760233,0.888555,0.928670,0.953639,0.940989,0.788747,0.948488,0.970575,0.976570,0.973563,0.828928,0.993392,0.996611,0.996760,0.996685,0.864330,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2841_341_1075_3324_3954,0.497975,0.497975,0.529821,0.892297,0.664864,0.724744,0.802765,0.847213,0.938656,0.890593,0.771161,0.900619,0.928542,0.967689,0.947711,0.799862,0.961868,0.973863,0.987357,0.980564,0.839853,0.998370,0.999305,0.999063,0.999184,0.869966,0.999766,1.000000,0.999766,0.999883
Rissbilder_for_Florian_9S6A2841_542_955_3068_2456,0.501809,0.501809,0.531678,0.899321,0.668273,0.695269,0.774621,0.817418,0.936689,0.872999,0.742528,0.874765,0.906336,0.961705,0.933200,0.775653,0.946591,0.965309,0.979926,0.972563,0.822374,0.999270,0.999270,1.000000,0.999635,0.864625,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2842_321_767_3019_3008,0.497836,0.497836,0.527591,0.898243,0.664740,0.682665,0.762516,0.806220,0.933626,0.865258,0.725043,0.858037,0.890497,0.959248,0.923595,0.753477,0.923331,0.944245,0.976574,0.960138,0.796404,0.981919,0.984521,0.997316,0.990877,0.833402,0.989824,0.989824,1.000000,0.994886
Rissbilder_for_Florian_9S6A2842_635_1731_1931_2541,0.469486,0.469486,0.494801,0.901733,0.638979,0.601243,0.662208,0.693108,0.936925,0.796781,0.624639,0.714327,0.737077,0.958581,0.833361,0.638836,0.745552,0.757576,0.979155,0.854231,0.658076,0.769752,0.771687,0.996751,0.869898,0.672868,0.772579,0.772579,1.000000,0.871700
Rissbilder_for_Florian_9S6A2842_70_2154_3631_3282,0.478267,0.478267,0.517568,0.862984,0.647064,0.692081,0.772123,0.835078,0.911047,0.871410,0.741708,0.873149,0.920120,0.944763,0.932279,0.775740,0.937110,0.966872,0.968197,0.967534,0.823955,0.989364,0.998422,0.990913,0.994654,0.863859,0.999283,1.000000,0.999283,0.999641
Rissbilder_for_Florian_9S6A2843_12_1425_2920_2441,0.520441,0.520441,0.537966,0.941094,0.684592,0.728571,0.796471,0.818621,0.967144,0.886706,0.768214,0.885221,0.898310,0.983807,0.939116,0.797706,0.945589,0.951972,0.992959,0.972034,0.837844,0.993880,0.995975,0.997888,0.996931,0.875422,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2843_178_404_2380_2116,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2843_369_1526_1885_2389,0.526475,0.526475,0.547933,0.930765,0.689792,0.719663,0.792756,0.820178,0.959532,0.884399,0.761854,0.883722,0.902842,0.976597,0.938272,0.793628,0.946827,0.955511,0.990492,0.972687,0.838908,0.996403,0.997130,0.999269,0.998198,0.877676,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2843_734_2194_2503_2654,0.517919,0.517919,0.539576,0.928076,0.682406,0.707374,0.785377,0.815711,0.954791,0.879788,0.751235,0.877828,0.899940,0.972772,0.934940,0.783307,0.944443,0.957885,0.985358,0.971428,0.827913,0.994220,0.998059,0.996147,0.997102,0.866725,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2843_81_439_3537_3036,0.512011,0.512011,0.534458,0.924189,0.677258,0.736288,0.812582,0.844504,0.955549,0.896602,0.775066,0.905083,0.924460,0.977366,0.950177,0.803176,0.963994,0.973033,0.990455,0.981667,0.841331,0.999297,0.999842,0.999455,0.999648,0.875182,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2844_0_0_3840_5760,0.384215,0.384215,0.457231,0.706396,0.555137,0.579807,0.630071,0.802663,0.745562,0.773059,0.625213,0.709445,0.894401,0.774303,0.830030,0.657462,0.760007,0.947839,0.793181,0.863641,0.703831,0.809501,0.989422,0.816568,0.894723,0.747310,0.832911,1.000000,0.832911,0.908839
Rissbilder_for_Florian_9S6A2844_443_437_3072_2992,0.503104,0.503104,0.545047,0.867337,0.669420,0.712590,0.789077,0.857318,0.908368,0.882105,0.751428,0.873556,0.924990,0.940156,0.932511,0.779664,0.926731,0.960762,0.963185,0.961972,0.823040,0.968609,0.984815,0.983295,0.984054,0.859487,0.984306,0.991643,0.992540,0.992091
Rissbilder_for_Florian_9S6A2844_736_848_3078_2427,0.501128,0.501128,0.558862,0.829086,0.667669,0.666721,0.739679,0.832495,0.869015,0.850363,0.700863,0.816185,0.900985,0.896608,0.898791,0.725021,0.869934,0.938950,0.922091,0.930444,0.763605,0.932084,0.971335,0.958448,0.964849,0.803732,0.964206,0.982057,0.981497,0.981777
Rissbilder_for_Florian_9S6A2845_0_0_5760_3840,0.413479,0.413479,0.463607,0.792707,0.585052,0.642467,0.696463,0.814094,0.828181,0.821077,0.678449,0.772673,0.891632,0.852755,0.871760,0.703608,0.826129,0.937413,0.874356,0.904787,0.742202,0.865244,0.966968,0.891597,0.927754,0.769762,0.881185,0.971604,0.904479,0.936841
Rissbilder_for_Florian_9S6A2845_1333_32_4399_3805,0.447036,0.447036,0.470280,0.900444,0.617864,0.700346,0.764833,0.806542,0.936667,0.866748,0.743296,0.852409,0.882583,0.961440,0.920325,0.773642,0.914864,0.930673,0.981771,0.955539,0.812684,0.963621,0.966679,0.996728,0.981474,0.845285,0.973315,0.973758,0.999533,0.986477
Rissbilder_for_Florian_9S6A2845_1480_64_3182_3685,0.457361,0.457361,0.478345,0.912479,0.627656,0.677792,0.748564,0.783447,0.943859,0.856204,0.724958,0.841332,0.868654,0.963962,0.913830,0.759826,0.905671,0.921732,0.981123,0.950501,0.804074,0.958201,0.961830,0.996077,0.978654,0.845522,0.967742,0.967742,1.000000,0.983607
Rissbilder_for_Florian_9S6A2845_1641_474_2958_3084,0.495451,0.495451,0.525286,0.897152,0.662611,0.703286,0.778388,0.825823,0.931278,0.875386,0.750172,0.868771,0.906022,0.954813,0.929778,0.781578,0.927028,0.953149,0.971287,0.962133,0.824741,0.981717,0.990492,0.991057,0.990774,0.861003,0.998744,0.999449,0.999294,0.999371
Rissbilder_for_Florian_9S6A2845_2026_3_2804_3214,0.487371,0.487371,0.515821,0.898337,0.655346,0.702186,0.773896,0.816694,0.936580,0.872538,0.744311,0.862954,0.892799,0.962708,0.926436,0.771729,0.918116,0.938216,0.977197,0.957310,0.811154,0.971131,0.978178,0.992637,0.985354,0.842483,0.987998,0.987998,1.000000,0.993963
Rissbilder_for_Florian_9S6A2845_2181_159_3010_3511,0.489977,0.489977,0.518989,0.897595,0.657698,0.700178,0.778546,0.826256,0.930954,0.875486,0.744014,0.875998,0.912530,0.956297,0.933901,0.777661,0.943946,0.965161,0.977243,0.971165,0.823151,0.995589,0.997907,0.997673,0.997790,0.860647,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2845_628_184_3360_3293,0.447352,0.447352,0.476893,0.878373,0.618167,0.660005,0.725837,0.774426,0.920437,0.841142,0.699062,0.806385,0.846063,0.945040,0.892816,0.726794,0.864167,0.892061,0.965079,0.927135,0.762708,0.913176,0.927179,0.983730,0.954618,0.794057,0.932614,0.938382,0.993452,0.965132
Rissbilder_for_Florian_9S6A2846_230_168_2768_2605,0.478024,0.478024,0.488493,0.957091,0.646842,0.693694,0.755040,0.770230,0.974545,0.860425,0.739614,0.851447,0.861173,0.986909,0.919764,0.772267,0.919206,0.921678,0.997091,0.957902,0.817338,0.987379,0.987379,1.000000,0.993650,0.857623,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2846_268_1498_2452_2689,0.484609,0.484609,0.515635,0.889552,0.652844,0.642781,0.714041,0.757385,0.925800,0.833167,0.674098,0.779806,0.810159,0.954158,0.876282,0.696730,0.822913,0.838092,0.978465,0.902855,0.727678,0.850408,0.853047,0.996375,0.919157,0.752998,0.858204,0.858361,0.999787,0.923692
