name,with_evidence_iou,with_evidence_dice,with_evidence_precision,with_evidence_recall,with_evidence_components_pred,with_evidence_skeleton_covered,no_evidence_iou,no_evidence_dice,no_evidence_precision,no_evidence_recall,no_evidence_components_pred,no_evidence_skeleton_covered
CRACK500_20160222_115324_1281_721.jpg,0.639510,0.780123,0.733209,0.833451,1.000000,0.935393,0.647549,0.786075,0.753012,0.822175,1.000000,0.918539
CRACK500_20160222_115324_641_1081.jpg,0.551212,0.710686,0.902333,0.586185,1.000000,0.700855,0.542710,0.703580,0.907761,0.574385,2.000000,0.683761
CRACK500_20160222_115519_641_721.jpg,0.701744,0.824735,0.864356,0.788587,1.000000,0.916824,0.697211,0.821596,0.865348,0.782056,1.000000,0.911153
CRACK500_20160222_115828_641_1.jpg,0.595179,0.746223,0.713629,0.781936,8.000000,0.838852,0.611386,0.758833,0.721753,0.799928,7.000000,0.856512
CRACK500_20160222_115833_1921_1081.jpg,0.539139,0.700572,0.547850,0.971353,1.000000,0.986979,0.560920,0.718704,0.571577,0.967827,1.000000,0.981771
CRACK500_20160222_115833_641_361.jpg,0.714490,0.833472,0.777482,0.898153,2.000000,0.927856,0.720226,0.837362,0.795156,0.884300,2.000000,0.921844
CRACK500_20160222_115843_1281_361.jpg,0.655530,0.791928,0.669427,0.969305,3.000000,0.988688,0.660427,0.795491,0.676876,0.964508,4.000000,0.986425
CRACK500_20160222_115847_1281_361.jpg,0.596154,0.746988,0.604573,0.977174,2.000000,1.000000,0.604855,0.753782,0.614384,0.975000,2.000000,1.000000
CRACK500_20160222_115847_641_361.jpg,0.636117,0.777594,0.646637,0.975062,2.000000,0.995968,0.652076,0.789402,0.667433,0.965919,2.000000,0.995968
CRACK500_20160222_163940_1281_1081.jpg,0.250689,0.400882,0.297358,0.614984,1.000000,0.688482,0.248096,0.397559,0.298977,0.593132,1.000000,0.659686
CRACK500_20160222_163940_1_1081.jpg,0.474690,0.643783,0.674151,0.616033,4.000000,0.745803,0.473016,0.642242,0.674328,0.613070,4.000000,0.741407
CRACK500_20160222_163940_1_361.jpg,0.340954,0.508524,0.607401,0.437333,13.000000,0.483603,0.338411,0.505691,0.603827,0.434994,10.000000,0.480105
