name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
CRACK500_20160316_144230_641_1,0.580410,0.580410,0.951752,0.598005,0.734506,0.615398,0.658841,0.972654,0.671275,0.794339,0.645080,0.730198,0.987270,0.737138,0.844063,0.671576,0.796247,0.996071,0.798756,0.886567,0.713881,0.895033,1.000000,0.895033,0.944609,0.759068,0.950627,1.000000,0.950627,0.974689
CRACK500_20160316_144241_641_361,0.592707,0.592707,0.804555,0.692400,0.744276,0.643302,0.704925,0.876830,0.782400,0.826928,0.684597,0.792177,0.924704,0.846800,0.884039,0.717274,0.861534,0.958634,0.894800,0.925618,0.764534,0.932772,0.986753,0.944600,0.965217,0.809915,0.966143,0.996746,0.969200,0.982780
CRACK500_20160316_144431_641_1081,0.739021,0.739021,0.883255,0.819024,0.849928,0.760522,0.805851,0.924480,0.862638,0.892489,0.777782,0.857184,0.949348,0.898266,0.923101,0.794855,0.902279,0.966113,0.931768,0.948630,0.822405,0.955885,0.981095,0.973822,0.977445,0.852365,0.987352,0.991439,0.995842,0.993636
CRACK500_20160316_183217_1281_1,0.798632,0.798632,0.818831,0.970037,0.888044,0.810991,0.844133,0.856738,0.982868,0.915479,0.821858,0.880585,0.888185,0.990377,0.936501,0.830882,0.911226,0.916123,0.994168,0.953551,0.847898,0.956603,0.957538,0.998979,0.977820,0.867074,0.986338,0.986338,1.000000,0.993122
CRACK500_20160318_084343_1281_361,0.722208,0.722208,0.893236,0.790440,0.838700,0.732089,0.761866,0.920835,0.815264,0.864840,0.740836,0.795279,0.941534,0.836594,0.885967,0.749953,0.828411,0.960735,0.857441,0.906154,0.764921,0.878688,0.986064,0.889737,0.935427,0.781749,0.918527,0.999274,0.919140,0.957533
CRACK500_20160318_181602_1281_361,0.739342,0.739342,0.829231,0.872131,0.850140,0.754367,0.787588,0.868626,0.894090,0.881174,0.767906,0.830093,0.900932,0.913474,0.907160,0.781208,0.874083,0.931864,0.933761,0.932812,0.803625,0.936398,0.973149,0.961233,0.967154,0.829499,0.971706,0.993985,0.977453,0.985650
CRACK500_20160318_181627_1_721,0.779918,0.779918,0.900751,0.853241,0.876353,0.789190,0.834238,0.935463,0.885183,0.909629,0.796849,0.877902,0.960612,0.910683,0.934982,0.803957,0.915286,0.980164,0.932559,0.955769,0.815407,0.955222,0.995750,0.959133,0.977098,0.827371,0.975842,1.000000,0.975842,0.987773
CRACK500_20160318_181632_1_1,0.885516,0.885516,0.936397,0.942185,0.939282,0.891116,0.914477,0.951825,0.958857,0.955328,0.896033,0.937320,0.963217,0.972116,0.967646,0.902509,0.958063,0.973109,0.984118,0.978583,0.912849,0.981643,0.986751,0.994754,0.990736,0.922988,0.994325,0.995929,0.998383,0.997154
CRACK500_20160318_181632_1_361,0.851260,0.851260,0.951464,0.889903,0.919655,0.846596,0.873179,0.972385,0.895382,0.932296,0.841790,0.885652,0.986611,0.896426,0.939359,0.838596,0.893545,0.996095,0.896687,0.943780,0.829268,0.896948,1.000000,0.896948,0.945675,0.825359,0.900339,1.000000,0.900339,0.947556
CRACK500_20160318_181632_641_1,0.625657,0.625657,0.948871,0.647485,0.769728,0.631319,0.667003,0.962815,0.684640,0.800242,0.636434,0.703752,0.974768,0.716810,0.826120,0.639172,0.740312,0.985392,0.748527,0.850781,0.642811,0.802496,0.998672,0.803353,0.890427,0.646074,0.850023,1.000000,0.850023,0.918932
