name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
Rissbilder_for_Florian_9S6A2858_138_1397_3695_4304,0.450546,0.450546,0.465883,0.931907,0.621209,0.716863,0.790792,0.815183,0.963543,0.883176,0.765931,0.894060,0.909022,0.981922,0.944067,0.801772,0.964743,0.969272,0.995179,0.982055,0.848632,0.999548,0.999548,1.000000,0.999774,0.886359,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2858_203_242_3312_2597,0.474311,0.474311,0.487444,0.946250,0.643434,0.675493,0.733427,0.763683,0.948750,0.846216,0.699275,0.808852,0.844816,0.950000,0.894326,0.713340,0.867100,0.908564,0.950000,0.928820,0.725819,0.930220,0.978107,0.950000,0.963849,0.740391,0.945931,0.995493,0.950000,0.972214
Rissbilder_for_Florian_9S6A2858_24_161_2934_2248,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2858_559_619_3260_3533,0.464872,0.464872,0.479186,0.939622,0.634693,0.721438,0.786498,0.807586,0.967867,0.880492,0.768197,0.881071,0.894146,0.983675,0.936776,0.801281,0.943675,0.949518,0.993522,0.971021,0.846723,0.995389,0.995903,0.999482,0.997689,0.883743,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2858_58_840_3696_4727,0.440821,0.440821,0.457708,0.922768,0.611902,0.725590,0.794295,0.819798,0.962311,0.885356,0.776783,0.896092,0.909133,0.984245,0.945199,0.810907,0.959412,0.964297,0.994748,0.979286,0.856682,0.999387,0.999387,1.000000,0.999693,0.895256,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2858_74_2277_2849_2285,0.532487,0.532487,0.563541,0.906219,0.694932,0.731776,0.807317,0.853643,0.937013,0.893387,0.769760,0.892541,0.927008,0.960008,0.943220,0.795607,0.944593,0.965680,0.977405,0.971507,0.831918,0.991287,0.995648,0.995601,0.995624,0.861237,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2858_825_486_2361_2715,0.510324,0.510324,0.528375,0.937256,0.675781,0.714535,0.780126,0.806167,0.960239,0.876484,0.760865,0.871300,0.888961,0.977706,0.931224,0.795469,0.933125,0.942731,0.989198,0.965406,0.843003,0.991192,0.992096,0.999081,0.995576,0.882038,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2859_1580_320_3896_3471,0.426624,0.426624,0.445835,0.908265,0.598089,0.640533,0.701348,0.728816,0.949004,0.824462,0.684889,0.782394,0.801324,0.970692,0.877914,0.713988,0.834780,0.845490,0.985053,0.909951,0.754098,0.882929,0.884765,0.997655,0.937825,0.792361,0.894404,0.894404,1.000000,0.944259
Rissbilder_for_Florian_9S6A2859_1796_34_3392_3713,0.457460,0.457460,0.478604,0.911932,0.627750,0.692456,0.762743,0.798867,0.944034,0.865405,0.739605,0.859056,0.882362,0.970170,0.924185,0.773133,0.922935,0.934099,0.987216,0.959923,0.818138,0.972709,0.974057,0.998580,0.986166,0.859606,0.983152,0.983152,1.000000,0.991504
Rissbilder_for_Florian_9S6A2859_2073_725_3430_2687,0.432019,0.432019,0.455117,0.894872,0.603370,0.602178,0.664651,0.700432,0.928627,0.798547,0.644650,0.743784,0.772376,0.952590,0.853069,0.672748,0.796214,0.814965,0.971914,0.886547,0.713091,0.851247,0.855589,0.994074,0.919647,0.750709,0.869742,0.869742,1.000000,0.930334
Rissbilder_for_Florian_9S6A2860_109_355_3609_3381,0.474023,0.474023,0.505612,0.883550,0.643169,0.691498,0.768299,0.817059,0.927924,0.868970,0.736302,0.857194,0.893799,0.954401,0.923106,0.770245,0.924471,0.944164,0.977936,0.960753,0.820230,0.980765,0.984568,0.996077,0.990289,0.864338,0.997475,0.997475,1.000000,0.998736
Rissbilder_for_Florian_9S6A2860_2652_869_3027_2537,0.492640,0.492640,0.524938,0.888974,0.660092,0.688475,0.756598,0.805687,0.925473,0.861436,0.730347,0.839642,0.874633,0.954519,0.912832,0.757902,0.894234,0.914241,0.976113,0.944164,0.800049,0.943333,0.948319,0.994458,0.970841,0.835786,0.965500,0.966035,0.999427,0.982447
Rissbilder_for_Florian_9S6A2860_476_406_3989_3027,0.486336,0.486336,0.515113,0.896967,0.654409,0.704698,0.777729,0.826460,0.929527,0.874969,0.747616,0.866805,0.903560,0.955174,0.928651,0.776829,0.924592,0.947234,0.974799,0.960819,0.819320,0.976270,0.983607,0.992417,0.987992,0.857858,0.994528,0.994749,0.999777,0.997257
Rissbilder_for_Florian_9S6A2860_707_1403_2200_2149,0.535878,0.535878,0.562159,0.919759,0.697813,0.699367,0.772956,0.809783,0.944433,0.871940,0.737833,0.857165,0.886453,0.962886,0.923090,0.766764,0.920553,0.939425,0.978644,0.958633,0.809187,0.986977,0.991256,0.995646,0.993446,0.848109,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2861_1002_825_2601_2341,0.538680,0.538680,0.559887,0.934303,0.700184,0.743432,0.812878,0.841883,0.959341,0.896782,0.781109,0.900019,0.916774,0.980098,0.947379,0.809047,0.956208,0.963965,0.991654,0.977614,0.848348,0.992826,0.993460,0.999358,0.996400,0.883676,0.997563,0.997563,1.000000,0.998780
Rissbilder_for_Florian_9S6A2861_327_851_2964_3474,0.489859,0.489859,0.517664,0.901184,0.657591,0.728793,0.804235,0.847302,0.940556,0.891497,0.772365,0.896634,0.925351,0.966547,0.945500,0.801781,0.957587,0.970436,0.986361,0.978334,0.841869,0.997931,0.997931,1.000000,0.998964,0.877963,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2861_716_324_2856_3710,0.486470,0.486470,0.509778,0.914085,0.654530,0.727057,0.802193,0.835724,0.952367,0.890241,0.777256,0.902337,0.920958,0.978083,0.948661,0.809409,0.957691,0.966428,0.990649,0.978388,0.853402,0.998276,0.998859,0.999416,0.999137,0.888920,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2862_13_1221_3798_4291,0.385788,0.385788,0.408684,0.873193,0.556778,0.593739,0.658138,0.707615,0.903963,0.793828,0.643649,0.757379,0.807331,0.924476,0.861942,0.681732,0.833883,0.875627,0.945921,0.909418,0.733561,0.923016,0.951778,0.968298,0.959967,0.788589,0.973934,0.990399,0.983217,0.986795
Rissbilder_for_Florian_9S6A2862_16_760_3062_2984,0.426738,0.426738,0.466940,0.832117,0.598201,0.603217,0.670617,0.747611,0.866875,0.802838,0.647926,0.763826,0.847084,0.885992,0.866101,0.680320,0.831970,0.915740,0.900938,0.908279,0.728855,0.898546,0.975814,0.919013,0.946562,0.777074,0.929163,0.996879,0.931873,0.963281
Rissbilder_for_Florian_9S6A2862_54_2006_3577_3513,0.382886,0.382886,0.424682,0.795520,0.553749,0.566439,0.621474,0.721628,0.817445,0.766554,0.608863,0.707629,0.827735,0.829838,0.828785,0.636417,0.767438,0.905089,0.834604,0.868419,0.671518,0.825578,0.982443,0.837941,0.904457,0.702099,0.838418,1.000000,0.838418,0.912108
