representation,model,evaluation,held_out_domain,train_balanced_accuracy,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
mean,mlp64,leave_domain_out,khanhha,0.659626717572251,5085,0.34802092231244464,0.3433436431213736,0.3626352015732547,0.3333333333333333,0.3092425295343989,0.5322453004749367,0.4087332808811959,0.4918647879602235,0.32608695652173914,0.47657953631197464,0.5002298749157116,0.33411996066863325,-0.0016592747261507373,-0.009132674407740448,0.013764900764687657
mean,mlp64,leave_domain_out,road420,0.6371521001334889,420,0.3577624697027682,0.3500122113026231,0.4095238095238095,0.3333333333333333,0.3681592039800995,0.5947886140075876,0.20512820512820512,0.5019180294770845,0.5,0.5764351851851852,0.5577139428899525,0.4595238095238095,-0.0015344043869625881,-0.013545974006050579,0.0555026401212655
mean,mlp64,grouped_cv,all,0.6499513814710667,8895,0.5478011184310753,0.543967589863907,0.5535694210230466,0.3333333333333333,0.580164283541223,0.7360403040204636,0.5565340909090909,0.7590786997885834,0.5067049808429118,0.725997212695743,0.7403720721682635,0.28802698145025296,0.005152325436926659,-0.009849340569106186,0.018073224586996478
multiscale_mean,fixed_logistic,grouped_cv,all,0.6008915561867683,8895,0.5423703556631535,0.5393168987047358,0.5499718943226531,0.3333333333333333,0.5655613020991785,0.7287438855874111,0.5701704545454546,0.7608451902748414,0.49137931034482757,0.6988120607195546,0.729467045527269,0.28881394041596403,0.004247688845550642,-0.009849340569106186,0.018073224586996478
multiscale_mean,tuned_logistic,grouped_cv,all,0.5923773022176277,8895,0.5403704740847273,0.5374908044104861,0.548397976391231,0.3333333333333333,0.5673866747794342,0.7285968977344287,0.5676136363636364,0.7602436575052854,0.4861111111111111,0.7020004410042175,0.7302803320813105,0.285778527262507,0.004052287370520949,-0.009849340569106186,0.018073224586996478
multiscale_mean,mlp8,grouped_cv,all,0.6073054228378794,8895,0.5480695831982706,0.5444470776396285,0.5542439572793705,0.3333333333333333,0.5606936416184971,0.7314046396841922,0.5758522727272727,0.7606558668076111,0.5076628352490421,0.7182878356008323,0.7367827806975452,0.28802698145025296,0.004635120252973369,-0.009849340569106186,0.018073224586996478
multiscale_mean,mlp32,grouped_cv,all,0.6482663555136421,8895,0.5469377737877995,0.5418838292890564,0.5501967397414278,0.3333333333333333,0.5756008518405841,0.7381611713806215,0.5431818181818182,0.7647200845665961,0.5220306513409961,0.7252194397023123,0.7427002318831767,0.3069139966273187,0.004660180865024491,-0.009849340569106186,0.018073224586996478
multiscale_mean,mlp64,grouped_cv,all,0.6694063149609264,8895,0.5460343228380585,0.5402940540126361,0.54761101742552,0.3333333333333333,0.5597809552783694,0.7336463197214462,0.5443181818181818,0.7625301268498943,0.5340038314176245,0.7216809577924911,0.7392858014546105,0.3156829679595278,0.004202257447719081,-0.009849340569106186,0.018073224586996478
pre_global_mean,fixed_logistic,grouped_cv,all,0.6362030191715753,8895,0.5226405199064276,0.5197109051060488,0.530185497470489,0.3333333333333333,0.5415272284758138,0.7076248856972112,0.5536931818181818,0.7447145348837209,0.47270114942528735,0.6835041908065115,0.7119478704624812,0.29387296233839233,0.0030854888891296934,-0.009849340569106186,0.018073224586996478
pre_global_mean,tuned_logistic,grouped_cv,all,0.6041071646118057,8895,0.5231515697505674,0.5200893309697335,0.5302979201798763,0.3333333333333333,0.5515667782172193,0.7109296576189347,0.54375,0.7516905126849894,0.47413793103448276,0.6919430049188715,0.7181877250742653,0.2955593029792018,0.0032251515410591774,-0.009849340569106186,0.018073224586996478
pre_global_mean,mlp8,grouped_cv,all,0.6144493784816037,8895,0.5383379399241587,0.5354948987312934,0.5465992130410343,0.3333333333333333,0.5704289625798601,0.7340955562634457,0.5627840909090909,0.7560005549682876,0.4818007662835249,0.7133956297523341,0.7344972469946892,0.283867341202923,0.004593290731469072,-0.009849340569106186,0.018073224586996478
pre_global_mean,mlp32,grouped_cv,all,0.6527156567223085,8895,0.5425387236029081,0.5383917626066607,0.5477234401349073,0.3333333333333333,0.5795558259811379,0.7347766804517168,0.54375,0.7590716173361522,0.5043103448275862,0.7144640870030682,0.7361041282636457,0.29398538504777966,0.004644235542038986,-0.009849340569106186,0.018073224586996478
pre_global_mean,mlp64,grouped_cv,all,0.6882669458439051,8895,0.5367521933268461,0.5330115321116354,0.5425519955030916,0.3333333333333333,0.5500456343170064,0.7284258504192584,0.5616477272727273,0.7611931025369978,0.4985632183908046,0.7150960781300745,0.7349050103621102,0.294884766722878,0.003813495547627558,-0.009849340569106186,0.018073224586996478
