scope,cohort,model,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
dataset,khanhha_noisy1,fixed_logistic,1695,0.4880390283091167,0.4819269889860934,0.4861356932153392,0.3333333333333333,0.38661710037174724,0.659182991520822,0.5036603221083455,0.711173097066534,0.5738396624472574,0.668209636564067,0.6795219083838077,0.41651917404129796,0.006160272760714043,0.0026747638136498135,0.019440325222780108
dataset,khanhha_noisy1,tuned_logistic,1695,0.48855306836841494,0.48197810843500893,0.4861356932153392,0.3333333333333333,0.3847583643122677,0.6533336760562023,0.5007320644216691,0.7074491171823911,0.580168776371308,0.664190657861544,0.6749911503667124,0.41651917404129796,0.006734197595150655,0.0026747638136498135,0.019440325222780108
dataset,khanhha_noisy1,mlp32,1695,0.4944500071067192,0.4879580234757908,0.4920353982300885,0.3333333333333333,0.4052044609665427,0.681298255647698,0.5021961932650073,0.7136673244636833,0.5759493670886076,0.6980513309627234,0.6976723036913682,0.39410029498525073,0.00694999389887632,0.0026747638136498135,0.019440325222780108
dataset,khanhha_noisy2,always_neutral,1695,0.3333333333333333,0.2115720230903477,0.4648967551622419,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.02924076993282984,0.014670891874949181
dataset,khanhha_noisy2,fixed_logistic,1695,0.5408590208447689,0.5377125889853348,0.5710914454277286,0.3333333333333333,0.5511265164644714,0.7626812549024471,0.6472081218274112,0.774988946658533,0.42424242424242425,0.735013875013875,0.7575613588582851,0.240117994100295,-0.0006473901503925028,-0.02924076993282984,0.014670891874949181
dataset,khanhha_noisy2,tuned_logistic,1695,0.5425066543111041,0.53869669504051,0.5705014749262537,0.3333333333333333,0.5545927209705372,0.7579656045860552,0.6395939086294417,0.7707425047151596,0.43333333333333335,0.7285137085137086,0.7524072726049744,0.24424778761061947,-0.0006399643430335224,-0.02924076993282984,0.014670891874949181
dataset,khanhha_noisy2,mlp32,1695,0.5629737805968792,0.554426608707634,0.5775811209439528,0.3333333333333333,0.5823223570190641,0.7668527917207937,0.6065989847715736,0.7817216908534299,0.5,0.7671972471972472,0.7719239099238235,0.25250737463126843,0.0015065685656092918,-0.02924076993282984,0.014670891874949181
dataset,khanhha_original,always_neutral,1695,0.3333333333333333,0.25813449023861174,0.631858407079646,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,-0.0008320171040413115,0.007183485196333688
dataset,khanhha_original,fixed_logistic,1695,0.43797558529584674,0.4305870302002865,0.584070796460177,0.3333333333333333,0.1697530864197531,0.6255864422652655,0.7675070028011205,0.7316954559601618,0.37666666666666665,0.6529534050179212,0.6700784344144495,0.24542772861356932,0.00021045087258749628,-0.0008320171040413115,0.007183485196333688
dataset,khanhha_original,tuned_logistic,1695,0.4388629525884428,0.42795228462204626,0.5846607669616519,0.3333333333333333,0.14814814814814814,0.6219709863035903,0.7684407096171803,0.7311448083506906,0.4,0.6554121863799283,0.6695093270114031,0.24837758112094396,0.00018034382292432175,-0.0008320171040413115,0.007183485196333688
