run,label,variant,epoch,evaluation_root,dataset,samples,wasserstein_source,precision,precision_std,precision_finite_samples,recall,recall_std,recall_finite_samples,dice,dice_std,dice_finite_samples,iou,iou_std,iou_finite_samples,wasserstein,wasserstein_std,wasserstein_finite_samples,wasserstein_complete,wasserstein_missing_samples
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,khanhha_noisy2,1695,scan seulement / calcul non publié,0.6246331201584143,0.3423428877363833,1695,0.5847993920724232,0.36318949351186897,1695,0.567160630950271,0.339956353672108,1695,0.47142076466066923,0.32575883159587893,1695,,,0,False,1695
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,road420,420,scan seulement / calcul non publié,0.8117257156649146,0.24295457729648842,420,0.5829133239885322,0.25866788492251735,420,0.6014414071786416,0.20825853862088192,420,0.4586471636242635,0.19482360456093606,420,,,0,False,420
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,facade390,390,scan seulement / calcul non publié,0.5528948740894948,0.18969007746583455,390,0.9045059274357504,0.16412873797609417,390,0.6509092346104095,0.13338075757425444,390,0.4961800994121404,0.14052142455930597,390,,,0,False,390
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,concrete3k,3000,scan seulement / calcul non publié,0.9103761802497523,0.20250084426008222,3000,0.7350919737368146,0.20506796657117707,3000,0.7936896699164684,0.193639527225914,3000,0.6895959141668415,0.2013557036795624,3000,,,0,False,3000
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,MACRO_6_DATASETS,8895,scan seulement / calcul non publié,0.7285697882265726,0.11725527730954427,8895,0.7150864901163462,0.11018259981704086,8895,0.6741286022439693,0.0779968581702579,8895,0.5509111705704557,0.0840202124381088,8895,,,0,False,8895
epoch30,Frangi — époque 30,frangi,30,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch30,PONDERE_IMAGES,8895,scan seulement / calcul non publié,0.7690969717066457,0.2663951706452706,8895,0.7091770552918214,0.2639388410084233,8895,0.7054950600048122,0.24761313747739638,8895,0.5925125474238879,0.2547309198999073,8895,,,0,False,8895
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,khanhha_original,1695,scan seulement / calcul non publié,0.7576713954148829,0.18144554392925086,1695,0.7588108276778982,0.20337085803649058,1695,0.7433005902118791,0.18463315883409925,1695,0.6221120843362372,0.21497242441056022,1695,,,0,False,1695
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,khanhha_noisy1,1695,scan seulement / calcul non publié,0.7158390284381544,0.24030158107237426,1695,0.7163275170178565,0.25522322191769903,1695,0.6846160252588099,0.23422092070607492,1695,0.5644447003186475,0.25400422505259523,1695,,,0,False,1695
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,khanhha_noisy2,1695,scan seulement / calcul non publié,0.6209828334726916,0.3489177550058182,1695,0.5732237817443783,0.36748407256761745,1695,0.5589950058724886,0.3445474542925961,1695,0.46498136343630636,0.3293473475247518,1695,,,0,False,1695
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,road420,420,scan seulement / calcul non publié,0.8196428436370181,0.2440857214376104,420,0.5579754593498165,0.2608402460827324,420,0.5839173562802655,0.2114179560860427,420,0.44107489662361327,0.19511842148768746,420,,,0,False,420
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,facade390,390,scan seulement / calcul non publié,0.5622184629713678,0.19684452652429865,390,0.894949466961533,0.1724142840517582,390,0.6513033791846825,0.1334006899131861,390,0.49656899374218216,0.1400591662409403,390,,,0,False,390
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,concrete3k,3000,scan seulement / calcul non publié,0.9077246656345181,0.20688918631619072,3000,0.7367696185936676,0.20589570209912456,3000,0.7939442588627997,0.19424792616930886,3000,0.6901604001761805,0.2020823044078484,3000,,,0,False,3000
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,MACRO_6_DATASETS,8895,scan seulement / calcul non publié,0.7306798715947721,0.11591717505977797,8895,0.706342778557525,0.11480737157470285,8895,0.6693461026118208,0.0826923136643691,8895,0.5465570731055278,0.08844050402858791,8895,,,0,False,8895
epoch55,Frangi — époque 55,frangi,55,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch55,PONDERE_IMAGES,8895,scan seulement / calcul non publié,0.7686177923504267,0.2695340297506726,8895,0.7044027706732939,0.26771117894424074,8895,0.7025184465750224,0.25117626299465,8895,0.5900788899026959,0.2575145230602618,8895,,,0,False,8895
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,khanhha_original,1695,scan seulement / calcul non publié,0.7574631842234925,0.18116188126252836,1695,0.7581608831364421,0.2041946022586288,1695,0.742710027430317,0.18544128807968346,1695,0.6215301278666107,0.21532816448130204,1695,,,0,False,1695
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,khanhha_noisy1,1695,scan seulement / calcul non publié,0.7159187207317572,0.24025467986472251,1695,0.7163554299116208,0.2552723858609886,1695,0.6846001859746909,0.234333662476904,1695,0.5644540258748999,0.2540481967275845,1695,,,0,False,1695
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,khanhha_noisy2,1695,scan seulement / calcul non publié,0.6213452107957739,0.3485619983661395,1695,0.5732841459059305,0.3674184666595126,1695,0.5590697004559583,0.3444699323753994,1695,0.46502600456748583,0.3292907296650016,1695,,,0,False,1695
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,road420,420,scan seulement / calcul non publié,0.8198805648468013,0.24386478004123613,420,0.557501040042468,0.26096727300177164,420,0.5836996475261964,0.2116423631562629,420,0.44091086416820907,0.19531071401200836,420,,,0,False,420
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,facade390,390,scan seulement / calcul non publié,0.5623173353997676,0.1972033416930491,390,0.8949540980797582,0.17245846803241743,390,0.6511910421952118,0.1335979820623926,390,0.4964757866460999,0.14018059398666854,390,,,0,False,390
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,concrete3k,3000,scan seulement / calcul non publié,0.908107293506631,0.20616728008235247,3000,0.736801986010708,0.20590466524980405,3000,0.7939560532431856,0.1942724188244689,3000,0.6901843768833563,0.20210981559476845,3000,,,0,False,3000
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,MACRO_6_DATASETS,8895,scan seulement / calcul non publié,0.730838718250704,0.11595426640532713,8895,0.7061762638478214,0.11485183121765302,8895,0.66920444280426,0.0826319936780605,8895,0.546430197667777,0.08839922465542298,8895,,,0,False,8895
epoch70,Frangi — époque 70,frangi,70,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch70,PONDERE_IMAGES,8895,scan seulement / calcul non publié,0.7688069634355754,0.2692436452396031,8895,0.7042844599244615,0.2678151287920184,8895,0.702405899060262,0.25129059978401896,8895,0.5899745327404659,0.25757379563692856,8895,,,0,False,8895
