run,run_label,epoch,paper_model,paper_label,dataset,sam2_precision,paper_precision,delta_precision_sam2_minus_paper,sam2_recall,paper_recall,delta_recall_sam2_minus_paper,sam2_dice,paper_dice,delta_dice_sam2_minus_paper,sam2_iou,paper_iou,delta_iou_sam2_minus_paper,iou_source,pr_re_f1_source
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",concrete3k,0.917544861050896,,,0.7199943091767735,,,0.7889220770382835,,,0.6827934235297374,0.6798,0.0029934235297374157,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7187076125363627,,,0.7299417851522837,,,0.6790804436751459,,,0.5550581858790645,0.57795,-0.02289181412093544,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch20,Frangi — époque 20,20,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7678111205202424,,,0.7129997957271741,,,0.707808684754631,,,0.5935794170790459,0.6046760539629005,-0.011096636883854538,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_original,0.7526746096742712,0.7676,-0.014925390325728705,0.7665719321451874,0.7965,-0.029928067854812612,0.744551397838268,0.7704,-0.025848602161732015,0.6229724776349823,0.6495,-0.026527522365017653,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy1,0.7110753816739112,,,0.7357816819857322,,,0.6915218272274141,,,0.5704863157450496,0.5466,0.023886315745049624,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_noisy2,0.6228012874423501,,,0.6108812280465025,,,0.5832175747792807,,,0.4841029913509463,0.4763,0.007802991350946309,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",road420,0.7656399306951943,,,0.6391659410766081,,,0.6129848206288302,,,0.4700934262501071,0.6149,-0.14480657374989292,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",facade390,0.5517763017148233,,,0.91097409132606,,,0.6551241020989096,,,0.49993980938850946,0.4718,0.028139809388509462,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",concrete3k,0.9050834227176814,,,0.7392135758577585,,,0.79337331528927,,,0.6901317148391102,0.6718,0.018331714839110225,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7181751556530386,,,0.7337647417396415,,,0.680128839643662,,,0.5562877892014508,0.5718166666666668,-0.015528877465215918,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
