comparison,dataset,metric,reference_mean,candidate_mean,samples,mean_delta,std_delta,median_delta,p05_delta,p95_delta,ci95_low,ci95_high,gains,ties,losses,losses_below_minus_005,losses_below_minus_010
baseline_zero_logit_vs_none,khanhha_noisy2,iou,0.5133437612837761,0.39185935610492656,1695,-0.12148440517884958,0.20678038483118363,-0.005856503395299417,-0.5883489097862498,0.020948739647025927,-0.1315218983927833,-0.11177444380624699,309,381,1005,597,499
baseline_zero_logit_vs_none,khanhha_noisy2,dice,0.6243293747541984,0.47019991584375287,1695,-0.15412945891044535,0.2582823080177765,-0.005282497855540247,-0.7271732385624039,0.017981294193758834,-0.16651270086202133,-0.14193183217863728,309,381,1005,591,513
baseline_zero_logit_vs_none,road420,iou,0.4836394002561577,0.15583857267905527,420,-0.32780082757710244,0.2361116495018972,-0.3457881195693818,-0.6844119595473467,0.037873838791899025,-0.3506064541700951,-0.3048959451432718,34,4,382,344,324
baseline_zero_logit_vs_none,road420,dice,0.6251577572863767,0.21317980052050778,420,-0.41197795676586885,0.2861799023554,-0.4702487944805742,-0.8025010640998215,0.0341731460296568,-0.4388930809477511,-0.3845281821831829,34,4,382,342,320
baseline_zero_logit_vs_none,facade390,iou,0.5163686768272836,0.35624752060472836,390,-0.16012115622255527,0.25008521295232944,-0.015294164339447275,-0.6272567696771131,0.08703332064742612,-0.1848519138270427,-0.13604937090990693,139,6,245,158,149
baseline_zero_logit_vs_none,facade390,dice,0.6655554364566215,0.4748205477553014,390,-0.1907348887013202,0.28911308581168005,-0.015131218872701191,-0.7536441154668895,0.07200656545109865,-0.21939831333468138,-0.1629396300211336,139,6,245,155,148
baseline_zero_logit_vs_none,concrete3k,iou,0.6998229373775023,0.6260636385407732,3000,-0.07375929883672915,0.19766361805185148,-0.00418973803806999,-0.6051707979046792,0.024787489324294625,-0.08095790045920702,-0.06665533954161632,1111,109,1780,692,487
baseline_zero_logit_vs_none,concrete3k,dice,0.7989288114855093,0.7219070422673846,3000,-0.07702176921812473,0.21478934584867682,-0.002600506847493189,-0.7059165973584907,0.017253608257541877,-0.0847938202804835,-0.06929081548220176,1111,109,1780,593,453
baseline_permuted_vs_none,khanhha_original,iou,0.6238044947390237,0.4393009252466805,1695,-0.1845035694923431,0.24327736609077602,-0.06353007784399456,-0.6248378731438821,0.020549032074277954,-0.1963781540820081,-0.17321962760719462,189,211,1295,914,744
baseline_permuted_vs_none,khanhha_original,dice,0.7453199181521043,0.5305005346745956,1695,-0.21481938347750892,0.2900743669861488,-0.053963224160363366,-0.7501447255652602,0.016786556151871055,-0.22858337040548773,-0.20074851127880763,189,211,1295,863,718
baseline_permuted_vs_none,khanhha_noisy1,iou,0.5678115519313996,0.2931198157370563,1695,-0.27469173619434334,0.25913996082646173,-0.22600567629087132,-0.7362428538457271,0.0,-0.2870258288735363,-0.2624464368473504,81,233,1381,1197,1068
baseline_permuted_vs_none,khanhha_noisy1,dice,0.6907005064260806,0.3565818136005998,1695,-0.33411869282548085,0.3094309673255936,-0.276301900070373,-0.8404672596079305,0.0,-0.34921321006218853,-0.31951986560855045,81,233,1381,1179,1067
baseline_permuted_vs_none,khanhha_noisy2,iou,0.5133437612837761,0.25335805280595575,1695,-0.2599857084778205,0.2588592999093143,-0.2168283252743116,-0.720313093056008,0.0035366970421548127,-0.27229743724388733,-0.24769825215405802,96,361,1238,1131,1023
baseline_permuted_vs_none,khanhha_noisy2,dice,0.6243293747541984,0.30207336909615495,1695,-0.32225600565804335,0.3101869616096551,-0.26997869476152003,-0.8245097588982263,0.0027970188267860633,-0.3369689421839245,-0.307367029900604,96,361,1238,1114,1039
baseline_permuted_vs_none,road420,iou,0.4836394002561577,0.14597390602891847,420,-0.33766549422723924,0.22507829449286207,-0.35669411405286094,-0.6751499151076676,0.034945553195586544,-0.35994291975175924,-0.3160754723889929,26,4,390,364,341
baseline_permuted_vs_none,road420,dice,0.6251577572863767,0.2035557959113958,420,-0.42160196137498074,0.27390428603688766,-0.4641018399726982,-0.7945628835907773,0.02542668210468783,-0.4476267387167934,-0.39639075261038426,26,4,390,363,338
baseline_permuted_vs_none,facade390,iou,0.5163686768272836,0.17723315509065665,390,-0.33913552173662703,0.2734956599249873,-0.3956739764614159,-0.697549766912173,0.13192338682058144,-0.36625501773720204,-0.31190665429706205,66,5,319,310,296
baseline_permuted_vs_none,facade390,dice,0.6655554364566215,0.24568927536187743,390,-0.41986616109474406,0.3231611597347006,-0.5068414778294895,-0.8191738258054676,0.12234326616640405,-0.4518992356366593,-0.3868305640848854,66,5,319,310,295
baseline_permuted_vs_none,concrete3k,iou,0.6998229373775023,0.23550091715236546,3000,-0.46432202022513686,0.31287235011019654,-0.509474096811676,-0.879721560218347,0.0,-0.475403213638397,-0.4531157673035925,71,102,2827,2687,2476
baseline_permuted_vs_none,concrete3k,dice,0.7989288114855093,0.3004338643269446,3000,-0.4984949471585646,0.3564086042261393,-0.5707173626217639,-0.9343758030199388,0.0,-0.5111878850317867,-0.4857387062518521,71,102,2827,2602,2332
baseline_shifted_vs_none,khanhha_original,iou,0.6238044947390237,0.4031534097552066,1695,-0.2206510849838171,0.2633048845316007,-0.08301447901192804,-0.6891447589820546,0.017175505051102356,-0.23331611293109786,-0.20828060546720434,159,216,1320,970,805
baseline_shifted_vs_none,khanhha_original,dice,0.7453199181521043,0.48296589468533907,1695,-0.2623540234667654,0.31815249661733813,-0.07363345506476332,-0.808261618241734,0.012675761743933697,-0.2778216129739546,-0.24704364285339267,159,216,1320,923,789
baseline_shifted_vs_none,khanhha_noisy1,iou,0.5678115519313996,0.2706333262904662,1695,-0.29717822564093344,0.2634372946036021,-0.27960242005185826,-0.7402502489781786,0.0,-0.30977316620357087,-0.28478691678260765,82,230,1383,1237,1126
baseline_shifted_vs_none,khanhha_noisy1,dice,0.6907005064260806,0.3250266043650436,1695,-0.3656739020610369,0.3163782314890914,-0.3611011390143747,-0.8442857181052054,0.0,-0.38064076427638294,-0.35075781342703577,82,230,1383,1221,1119
baseline_shifted_vs_none,khanhha_noisy2,iou,0.5133437612837761,0.2431178881980854,1695,-0.2702258730856908,0.2620463087238979,-0.23717472118959107,-0.7191778350611011,0.0004601705933682332,-0.28237241704553284,-0.2575676830086195,86,364,1245,1119,1031
baseline_shifted_vs_none,khanhha_noisy2,dice,0.6243293747541984,0.28535292820239405,1695,-0.3389764465518042,0.31752497906238425,-0.30827517447657027,-0.8344877014857586,0.0003516398838218948,-0.35413492397100366,-0.3240834798262184,86,364,1245,1110,1050
baseline_shifted_vs_none,road420,iou,0.4836394002561577,0.13576713134778942,420,-0.34787226890836825,0.2256815002541147,-0.366268368846313,-0.6962177537337758,-0.0011992999310823133,-0.36965488848761424,-0.3263796547408822,16,4,400,371,345
baseline_shifted_vs_none,road420,dice,0.6251577572863767,0.19116166672364676,420,-0.43399609056272975,0.273124605414772,-0.4813066166516889,-0.8143795164818134,-0.0023927048186322716,-0.45979032406032977,-0.40791566974829135,16,4,400,369,345
baseline_shifted_vs_none,facade390,iou,0.5163686768272836,0.15438655629339393,390,-0.36198212053388973,0.2705381671759932,-0.40359106044834503,-0.7333734530549112,0.1155187334461889,-0.38876738747307454,-0.3348776352016231,55,6,329,318,310
baseline_shifted_vs_none,facade390,dice,0.6655554364566215,0.21176119904537996,390,-0.4537942374112416,0.31623843553313274,-0.5510108653048952,-0.8364897161016177,0.10575844035515714,-0.4854274326524779,-0.4221326843345758,55,6,329,315,307
baseline_shifted_vs_none,concrete3k,iou,0.6998229373775023,0.2006544185659092,3000,-0.49916851881159313,0.32597942665946555,-0.6057112762818677,-0.8820559241964993,0.0,-0.510840276022274,-0.4872598368866758,87,102,2811,2665,2442
baseline_shifted_vs_none,concrete3k,dice,0.7989288114855093,0.25295389554398373,3000,-0.5459749159415255,0.36739775192715923,-0.7165057253990795,-0.9365838604539849,0.0,-0.5592801861516831,-0.5323134746028615,87,102,2811,2557,2337
matching_vs_permuted,khanhha_original,iou,0.4393009252466805,0.5191392292706984,1695,0.0798383040240178,0.3217012590711166,0.023690579342475204,-0.4497108584436728,0.5809211913141116,0.06431694109281695,0.09505784922410508,1093,181,421,180,148
matching_vs_permuted,khanhha_original,dice,0.5305005346745956,0.632741969602283,1695,0.10224143492768759,0.3618839970613244,0.019968051118210862,-0.6071684864481545,0.723589195508569,0.0852343505255488,0.1192566096983003,1093,181,421,177,148
matching_vs_permuted,khanhha_noisy1,iou,0.2931198157370563,0.44442639600594214,1695,0.15130658026888577,0.37817440081106257,0.11806286367433705,-1.0,0.6730035265360141,0.1332527592259287,0.16937811353272328,1222,188,285,176,152
matching_vs_permuted,khanhha_noisy1,dice,0.3565818136005998,0.5575872154898844,1695,0.20100540188928467,0.4257483218945979,0.14411149825783973,-1.0,0.7952248944235331,0.18081476335959634,0.22141282873876028,1222,188,285,185,151
matching_vs_permuted,khanhha_noisy2,iou,0.25335805280595575,0.42675285957812,1695,0.17339480677216432,0.3217716008288434,0.10753855544708515,-0.10285154842435631,0.6659972398530031,0.15814888521644688,0.18858509089209127,1160,326,209,118,87
matching_vs_permuted,khanhha_noisy2,dice,0.30207336909615495,0.5290019742293767,1695,0.22692860513322174,0.37064747762841366,0.14074844669718767,-0.12192135927275086,0.7893485260258186,0.2093651814904038,0.24454298594532473,1160,326,209,121,91
matching_vs_permuted,road420,iou,0.14597390602891847,0.35690252533553485,420,0.21092861930661636,0.26398126853631876,0.19550825726705665,-0.160828562249252,0.6313700853759028,0.18537481735047973,0.23593889668639084,342,13,65,36,31
